UserID;Age;Gender;DominantHand;HitType;TouchTime;LiftTime;TargetX;TargetY;TouchX;TouchY;LiftX;LiftY
0;25;M;R;Center;19.4301;0;90.56268;56.60167;90.06741;56.17716;7.428969;64.2429
0;25;M;R;Center;2.340111;2.435097;90.56268;56.60167;92.89749;56.60167;95.30306;54.83287
0;25;M;R;Target;3.262192;3.340752;135.5627;56.60167;140.2306;54.3376;140.5136;54.4791
0;25;M;R;Center;4.219582;4.281174;90.56268;56.60167;92.82674;55.89415;93.10975;55.82339
0;25;M;R;Target;6.875145;6.985443;129.5338;79.10168;130.2546;79.17159;130.6791;79.31309
0;25;M;R;Center;9.156479;9.220612;90.56268;56.60167;92.75599;53.48857;93.30791;53.21967
0;25;M;R;Target;9.994652;10.05893;113.0627;95.57282;115.2551;94.52479;115.6797;94.59554
0;25;M;R;Center;10.58382;10.68121;90.56268;56.60167;92.54373;52.92256;92.61448;53.55933
0;25;M;R;Target;10.86646;10.94933;90.56268;101.6017;89.57214;101.6;90.49192;100.751
0;25;M;R;Center;11.15594;11.252;90.56268;56.60167;91.55321;49.1727;91.4117;49.73872
0;25;M;R;Target;11.45406;11.50465;68.06266;95.57282;68.34652;91.83621;68.55878;92.11922
0;25;M;R;Center;11.72247;11.80784;90.56268;56.60167;96.29359;53.55933;95.51532;54.48526
0;25;M;R;Target;12.0292;12.09286;51.59153;79.10168;55.82339;73.44067;55.9649;73.72368
0;25;M;R;Target;12.0292;12.69645;45.56267;56.60167;48.67744;57.37994;49.80947;57.4507
0;25;M;R;Center;12.86865;12.96465;90.56268;56.60167;96.22284;57.87521;96.15208;57.7337
0;25;M;R;Target;13.35495;13.43562;45.56267;56.60167;49.45571;60.13927;50.72924;59.14875
0;25;M;R;Center;13.65559;13.75545;90.56268;56.60167;88.0156;52.92256;88.44063;53.34708
0;25;M;R;Target;13.97638;14.04124;51.59153;34.10167;51.79053;34.66852;53.29134;35.65753
0;25;M;R;Center;14.22806;14.30891;90.56268;56.60167;92.75599;56.95543;92.61448;57.09694
0;25;M;R;Target;14.49493;14.5948;68.06268;17.63052;69.19554;15.42395;70.89664;17.93774
0;25;M;R;Center;14.73425;14.82944;90.56268;56.60167;93.25125;59.00724;93.95877;57.02618
0;25;M;R;Target;15.00025;15.10423;90.56268;11.60166;92.26073;11.74485;91.76546;13.18409
0;25;M;R;Center;15.23233;15.31563;90.56268;56.60167;91.12869;53.48857;91.34095;52.4273
0;25;M;R;Target;15.51861;15.61855;113.0627;17.63052;114.6891;12.38162;110.6563;18.82006
0;25;M;R;Center;15.7543;15.83695;90.56268;56.60167;93.10975;54.54986;94.40538;53.69615
0;25;M;R;Target;16.00912;16.12234;129.5338;34.10166;129.9008;35.5883;129.6049;36.21609
0;25;M;R;Center;16.27481;16.35709;90.56268;56.60167;93.67577;58.72423;97.35487;57.23844
0;25;M;R;Target;16.52611;16.626;135.5627;56.60167;138.3911;55.46964;138.1081;56.31866
0;25;M;R;Center;16.79511;16.87772;90.56268;56.60167;92.40222;59.00724;92.82674;59.21949
0;25;M;R;Target;17.06315;17.14816;129.5338;79.10168;130.6791;81.29414;130.1838;81.2234
0;25;M;R;Target;17.06315;17.41553;113.0627;95.57282;108.2507;93.39275;108.2507;93.39275
0;25;M;R;Center;17.80201;17.88599;90.56268;56.60167;93.25125;55.25738;93.1805;56.38942
0;25;M;R;Target;18.02039;18.12034;113.0627;95.57282;111.7176;93.03899;110.6563;92.75599
0;25;M;R;Center;18.25608;18.35581;90.56268;56.60167;91.97771;53.27632;91.27019;58.65348
0;25;M;R;Target;18.5079;18.59196;90.56268;101.6017;89.7844;102.0245;88.86462;95.02005
0;25;M;R;Center;18.71381;18.82722;90.56268;56.60167;93.1805;49.88022;88.43694;57.66487
0;25;M;R;Target;18.9455;19.02769;68.06266;95.57282;67.00223;91.83621;69.90306;88.36935
0;25;M;R;Center;19.13058;19.22936;90.56268;56.60167;91.76546;56.53092;91.36952;57.32314
0;25;M;R;Target;19.34806;19.43027;51.59153;79.10168;54.54986;76.62451;57.66295;74.4312
0;25;M;R;Center;19.53252;19.63418;90.56268;56.60167;94.10027;55.25738;94.45404;55.39888
0;25;M;R;Target;19.75194;19.8163;45.56267;56.60167;48.04067;54.54986;49.31421;53.91309
0;25;M;R;Center;19.95043;20.03506;90.56268;56.60167;99.61894;55.61114;97.00111;55.18663
0;25;M;R;Center;19.95043;21.0412;68.06268;17.63052;72.9454;19.88134;72.5209;19.88134
0;25;M;R;Target;21.51302;21.57929;51.59153;34.10167;56.31866;34.73928;56.38942;35.02228
0;25;M;R;Center;22.20406;22.28462;90.56268;56.60167;91.83621;54.12535;91.97771;54.26685
0;25;M;R;Target;22.45422;22.53651;68.06268;17.63052;70.61058;17.40501;70.96435;17.47577
0;25;M;R;Center;22.70548;22.77322;90.56268;56.60167;92.61448;47.33315;93.01488;48.46518
0;25;M;R;Target;22.92452;23.02316;90.56268;11.60166;94.24178;8.207243;94.38329;9.197771
0;25;M;R;Center;23.17899;23.25883;90.56268;56.60167;93.74652;57.4507;95.58607;52.99331
0;25;M;R;Target;23.40971;23.51188;113.0627;17.63052;112.5666;15.70696;113.3448;16.90975
0;25;M;R;Center;23.66298;23.72868;90.56268;56.60167;94.24178;58.29972;96.5766;56.31866
0;25;M;R;Target;23.86754;23.98008;129.5338;34.10166;127.4245;32.0507;127.849;32.61671
0;25;M;R;Center;24.43568;24.5004;90.56268;56.60167;90.27966;55.6819;90.42117;55.89415
0;25;M;R;Target;26.10638;26.18526;135.5627;56.60167;136.7638;56.31866;137.0468;56.38942
0;25;M;R;Center;26.57629;26.67363;90.56268;56.60167;91.97771;56.60167;95.57721;56.00144
0;25;M;R;Target;26.79077;26.9257;129.5338;79.10168;132.8017;78.74708;132.5187;78.88857
0;25;M;R;Center;27.87472;27.96621;90.56268;56.60167;90.20892;59.361;93.95877;62.82786
0;25;M;R;Target;28.17339;28.26799;113.0627;95.57282;115.0429;96.08134;115.3967;96.29359
0;25;M;R;Center;28.69186;28.80586;90.56268;56.60167;90.56268;53.63008;92.43761;60.9883
0;25;M;R;Target;28.91007;28.97242;90.56268;101.6017;88.79387;98.48691;88.93538;98.62841
0;25;M;R;Center;29.24465;29.32529;90.56268;56.60167;93.25125;53.55933;92.33147;55.6819
0;25;M;R;Target;29.49524;29.59499;68.06266;95.57282;64.17214;94.17103;70.53983;90.56268
0;25;M;R;Center;29.76375;29.86259;90.56268;56.60167;93.46351;55.25738;93.1805;55.9649
0;25;M;R;Target;30.03531;30.13206;51.59153;79.10168;53.06407;78.74708;59.078;77.54429
0;25;M;R;Center;30.31621;30.41634;90.56268;56.60167;97.99165;50.87075;96.22284;52.14429
0;25;M;R;Target;30.5685;30.6532;45.56267;56.60167;47.96991;52.63956;50.51699;54.0546
0;25;M;R;Center;30.80794;30.90617;90.56268;56.60167;94.80779;53.20557;93.95877;52.63956
0;25;M;R;Target;31.05734;31.1396;51.59153;34.10167;54.1961;31.97994;54.69136;32.26295
0;25;M;R;Center;31.29934;31.37754;90.56268;56.60167;89.71365;54.26685;89.42886;53.33993
0;25;M;R;Target;31.51196;31.64326;68.06268;17.63052;70.82284;15.98997;74.00668;19.81059
0;25;M;R;Center;31.74899;31.86256;90.56268;56.60167;94.10027;54.69136;94.10027;51.36601
0;25;M;R;Target;31.996;32.0837;90.56268;11.60166;92.47298;12.16936;92.93925;12.96038
0;25;M;R;Center;32.23344;32.29959;90.56268;56.60167;92.26073;56.46017;92.69777;56.28531
0;25;M;R;Target;32.48769;32.58671;113.0627;17.63052;113.6278;15.70696;114.0524;17.32409
0;25;M;R;Center;32.73725;32.80325;90.56268;56.60167;92.04847;56.24791;94.63403;55.27784
0;25;M;R;Target;32.95786;33.07189;129.5338;34.10166;132.5894;32.75822;132.6602;34.03175
