UserID;Age;Gender;DominantHand;DominantEye;LongNails;TargetSize;ColliderSize;Delay;TouchID;TargetID;TargetCombination;Outset;Goal;MistakeOccured;HitType;TouchTime;LiftTime;DeltaHitTime;TargetX;TargetY;TargetDistance;LiftX;LiftY;TouchOffsetX;TouchOffsetY;LiftOffsetX;LiftOffsetY;TouchDuration;CrossTargets
2;21;M;R;R;No;6;18;1;0;0;SW;S;W;No;Outset;5.287109;5.393921;5.287109;98.52122;13.10909;-1;100.9265;12.60379;1.92424;-0.9863644;2.405296;-0.5053034;0.1068115;False
2;21;M;R;R;No;6;18;1;1;0;SW;S;W;No;Center;5.731567;5.845215;0.444458;98.52122;53.10909;40;97.75151;57.72727;-0.7697067;4.618183;-0.7697067;4.618183;0.1136475;False
2;21;M;R;R;No;6;18;1;2;0;SW;S;W;No;Goal;6.07666;6.136719;0.3450928;58.52121;53.10909;40.00001;57.17622;55.25197;-1.756058;1.924244;-1.344994;2.142879;0.06005859;False
2;21;M;R;R;No;6;18;1;3;1;EW;E;W;No;Outset;7.654053;7.759033;1.577393;138.5212;53.10909;-1;137.2932;55.80303;-1.707581;2.693943;-1.227982;2.693943;0.1049805;False
2;21;M;R;R;No;6;18;1;4;1;EW;E;W;No;Center;7.981079;8.03894;0.3270264;98.52122;53.10909;39.99999;99.09849;51.76212;0.5772705;-1.34697;0.5772705;-1.34697;0.05786133;False
2;21;M;R;R;No;6;18;1;5;1;EW;E;W;No;Goal;8.295898;8.361328;0.3148193;58.52121;53.10909;40.00001;52.33939;57.53485;-6.18182;4.425758;-6.18182;4.425758;0.06542969;False
2;21;M;R;R;No;6;18;1;6;2;NW;N;W;No;Outset;9.923218;9.981201;1.627319;98.52122;93.10909;-1;97.58405;92.74849;-1.154556;-0.3605957;-0.9371643;-0.3605957;0.0579834;False
2;21;M;R;R;No;6;18;1;7;2;NW;N;W;No;Center;10.18176;10.24109;0.2585449;98.52122;53.10909;40;95.25;56.3803;-3.271217;3.271214;-3.271217;3.271214;0.05932617;False
2;21;M;R;R;No;6;18;1;8;2;NW;N;W;No;Goal;10.41187;10.51111;0.2301025;58.52121;53.10909;40.00001;54.65875;58.49697;-4.065147;5.387878;-3.862457;5.387878;0.09924316;False
2;21;M;R;R;No;6;18;1;9;3;WW;W;W;No;Outset;12.06213;12.13684;1.650269;58.52121;53.10909;-1;60.51742;50.99242;1.515152;-2.116665;1.996212;-2.116665;0.07470703;False
2;21;M;R;R;No;6;18;1;10;3;WW;W;W;No;Center;12.31104;12.39111;0.2489014;98.52122;53.10909;40.00001;97.56804;53.70426;-1.346977;0;-0.9531784;0.5951729;0.08007813;False
2;21;M;R;R;No;6;18;1;11;3;WW;W;W;No;Goal;12.54492;12.61816;0.2338867;58.52121;53.10909;40.00001;60.71284;58.01889;2.284851;5.195454;2.191628;4.909801;0.07324219;False
2;21;M;R;R;No;6;18;1;12;4;WW;W;W;No;Outset;14.16296;14.21936;1.618042;58.52121;53.10909;-1;62.15303;55.32197;2.284851;1.346973;3.631821;2.212879;0.05639648;False
2;21;M;R;R;No;6;18;1;13;4;WW;W;W;No;Center;14.40869;14.47498;0.2457275;98.52122;53.10909;40.00001;101.2151;57.9197;2.693932;4.810608;2.693932;4.810608;0.06628418;False
2;21;M;R;R;No;6;18;1;14;4;WW;W;W;No;Goal;14.62708;14.68359;0.2183838;58.52121;53.10909;40.00001;62.9851;57.72727;4.01667;4.618183;4.463894;4.618183;0.05651855;False
2;21;M;R;R;No;6;18;1;15;5;EE;E;E;No;Outset;16.297;16.36963;1.669922;138.5212;53.10909;-1;136.8136;57.15001;-2.092422;3.656063;-1.707565;4.040924;0.07263184;False
2;21;M;R;R;No;6;18;1;16;5;EE;E;E;No;Center;16.52295;16.57642;0.2259521;98.52122;53.10909;39.99999;101.4076;53.87878;2.88636;0.7696953;2.88636;0.7696953;0.0534668;False
2;21;M;R;R;No;6;18;1;17;5;EE;E;E;No;Goal;16.73242;16.81738;0.2094727;138.5212;53.10909;39.99999;136.6212;55.99546;-3.246979;1.539398;-1.899994;2.886368;0.08496094;False
