StudyID;UserID;Age;Gender;DominantHand;DominantEye;LongNails;TargetSize;ColliderSize;Delay;TouchID;TargetID;TargetCombination;Outset;Goal;MistakeOccured;HitType;TouchTime;LiftTime;DeltaHitTime;TargetX;TargetY;TargetDistance;LiftX;LiftY;TouchOffsetX;TouchOffsetY;LiftOffsetX;LiftOffsetY;TouchDuration;CrossTargets
11;1;22;FALSE;R;R;No;6;18;1;0;0;WE;W;E;No;Outset;19.7215;19.85516;19.7215;58.52121;53.10909;-1;61.54251;53.91204;3.246971;0.3848457;3.021297;0.802948;0.133667;True
11;1;22;FALSE;R;R;No;6;18;1;1;0;WE;W;E;No;Center;20.6546;20.71265;0.9331055;98.52122;53.10909;40.00001;100.253;51.47349;0.9621201;-2.116665;1.731812;-1.635601;0.05804443;True
11;1;22;FALSE;R;R;No;6;18;1;2;0;WE;W;E;No;Goal;21.32642;21.42444;0.671814;138.5212;53.10909;39.99999;139.1227;52.18003;0.6015167;-1.154545;0.6015167;-0.9290619;0.09802246;True
11;1;22;FALSE;R;R;No;6;18;1;3;1;WS;W;S;No;Outset;23.55927;23.61584;2.232849;58.52121;53.10909;-1;60.325;55.03333;1.515152;1.924244;1.803791;1.924244;0.05657959;True
11;1;22;FALSE;R;R;No;6;18;1;4;1;WS;W;S;No;Center;24.2879;24.34436;0.7286377;98.52122;53.10909;40.00001;100.1568;52.53181;1.346962;-0.5772743;1.635597;-0.5772743;0.05645752;True
11;1;22;FALSE;R;R;No;6;18;1;5;1;WS;W;S;No;Goal;28.55475;28.59906;4.266846;98.52122;13.10909;40;101.0227;13.27727;1.346962;-0.409091;2.501511;0.1681814;0.04431152;True
11;1;22;FALSE;R;R;No;6;18;1;6;2;SS;S;S;No;Outset;30.63263;30.69257;2.077881;98.52122;13.10909;-1;99.38923;14.04697;0.3848419;0.9378786;0.8680115;0.9378786;0.05993652;True
11;1;22;FALSE;R;R;No;6;18;1;7;2;SS;S;S;No;Center;31.38831;31.43457;0.7556763;98.52122;53.10909;40;104.1015;50.41515;5.580299;-2.693939;5.580299;-2.693939;0.04626465;True
11;1;22;FALSE;R;R;No;6;18;1;8;2;SS;S;S;No;Goal;32.33234;32.38605;0.9440308;98.52122;13.10909;40;97.75151;16.16364;-1.346977;3.054544;-0.7697067;3.054544;0.05371094;True
11;1;22;FALSE;R;R;No;6;18;1;9;3;EE;E;E;No;Outset;34.28876;34.33087;1.956421;138.5212;53.10909;-1;137.7965;51.20563;-0.9378815;-2.116665;-0.7246857;-1.903458;0.04211426;True
