ID;StudyID;UserID;Age;Gender;PlayingHand;DominantHand;LongNails;DominantEye;TargetID;TargetSize;TargetDistance;ColliderSize;HitType;Outset;Goal;MistakeOccured;TargetCombition;RoundID;Repetition;Clockwise;TouchID;CrossTargets;Delay;ConditionID;TouchTime;LiftTime;DeltaHitTime;TargetX;TargetY;TouchX;TouchY;TouchOffsetX;TouchOffsetY;LiftX;LiftY;LiftOffsetX;LiftOffsetY;TouchDuration;TouchDeltaX;TouchDeltaY;RotationDegreeX;RotationDegreeY;RotationDegreeZ;TimeStamp;Potition
 ;12;4;19;M;L;L;No;L;0;7.2;-1;21.6;Outset;S;E;No;SE; ; ; ;0;True;1; ;1.04248;1.076172;1.04248;98.52122;33.89091;96.21212;32.80833;-2.309097;-1.082577;96.11591;32.80833;-2.405304;-1.082577;0.03369141; ; ;78.52757;87.02306;168.1374;06-08-2019 13:05:52;S
 ;12;4;19;M;L;L;No;L;0;7.2;40;21.6;Center;S;E;No;SE; ; ; ;1;True;1; ;1.378906;1.412598;0.3364258;98.52122;73.89091;101.0227;73.21742;2.501511;-0.6734848;101.0227;73.025;2.501511;-0.8659058;0.03369141; ; ;76.8951;85.81569;166.2205;06-08-2019 13:05:52;S
 ;12;4;19;M;L;L;No;L;0;7.2;39.99999;21.6;Goal;S;E;No;SE; ; ; ;2;True;1; ;1.647949;1.681641;0.269043;138.5212;73.89091;144.9917;71.38939;6.470459;-2.501518;144.9917;71.19697;6.470459;-2.693939;0.03369141; ; ;74.70361;83.76588;163.424;06-08-2019 13:05:53;S
 ;12;4;19;M;L;L;No;L;1;7.2;-1;21.6;Outset;N;N;No;NN; ; ; ;3;True;1; ;3.397461;3.431152;1.749512;98.52122;113.8909;98.61742;112.472;0.09620667;-1.418945;98.47311;112.3277;-0.04811096;-1.563263;0.03369141; ; ;75.53141;85.73673;164.8899;06-08-2019 13:05:54;S
 ;12;4;19;M;L;L;No;L;1;7.2;40.00001;21.6;Center;N;N;No;NN; ; ; ;4;True;1; ;3.666504;3.733887;0.269043;98.52122;73.89091;97.55909;69.17651;-0.9621277;-4.714394;97.55909;69.36893;-0.9621277;-4.521973;0.06738281; ; ;75.09981;83.88461;163.8394;06-08-2019 13:05:55;S
 ;12;4;19;M;L;L;No;L;1;7.2;40.00001;21.6;Goal;N;N;No;NN; ; ; ;5;True;1; ;3.935547;3.969238;0.269043;98.52122;113.8909;100.6379;109.8742;2.116661;-4.016678;100.4455;109.8742;1.92424;-4.016678;0.03369141; ; ;75.00227;87.03046;164.6975;06-08-2019 13:05:55;S
 ;12;4;19;M;L;L;No;L;2;7.2;-1;21.6;Outset;E;S;No;ES; ; ; ;6;True;1; ;5.617188;5.68457;1.681641;138.5212;73.89091;136.1402;73.50607;-2.381058;-0.3848419;135.0818;73.31364;-3.439392;-0.5772705;0.06738281; ; ;76.04042;83.94033;164.7327;06-08-2019 13:05:57;S
 ;12;4;19;M;L;L;No;L;2;7.2;39.99999;21.6;Center;E;S;No;ES; ; ; ;7;True;1; ;5.853027;5.919922;0.2358398;98.52122;73.89091;95.25;71.00454;-3.271217;-2.886368;94.76894;70.90833;-3.752281;-2.982574;0.06689453; ; ;74.61725;86.24602;164.1437;06-08-2019 13:05:57;S
 ;12;4;19;M;L;L;No;L;2;7.2;40;21.6;Goal;E;S;No;ES; ; ; ;8;True;1; ;6.12207;6.189453;0.269043;98.52122;33.89091;99.19469;26.16969;0.6734772;-7.721212;99.19469;25.97727;0.6734772;-7.913635;0.06738281; ; ;74.4211;83.02033;162.8558;06-08-2019 13:05:57;S
 ;12;4;19;M;L;L;No;L;3;7.2;-1;21.6;Outset;E;N;No;EN; ; ; ;9;True;1; ;7.703613;7.770996;1.581543;138.5212;73.89091;140.8545;73.12122;2.333328;-0.7696915;140.0484;72.41856;1.527176;-1.472351;0.06738281; ; ;73.13794;83.72579;161.9424;06-08-2019 13:05:59;S
 ;12;4;19;M;L;L;No;L;3;7.2;39.99999;21.6;Center;E;N;No;EN; ; ; ;10;True;1; ;7.972656;8.07373;0.269043;98.52122;73.89091;99.19469;73.21742;0.6734772;-0.6734848;98.76174;73.45795;0.2405243;-0.4329529;0.1010742; ; ;73.3335;85.11371;162.5915;06-08-2019 13:05:59;S
 ;12;4;19;M;L;L;No;L;3;7.2;40.00001;21.6;Goal;E;N;No;EN; ; ; ;11;True;1; ;8.309082;8.376465;0.3364258;98.52122;113.8909;96.78939;116.8977;-1.731827;3.006805;96.78939;116.7053;-1.731827;2.814384;0.06738281; ; ;75.19135;87.56743;164.9838;06-08-2019 13:05:59;S
 ;12;4;19;M;L;L;No;L;4;7.2;-1;21.6;Outset;S;S;No;SS; ; ; ;12;True;1; ;9.957031;10.02441;1.647949;98.52122;33.89091;100.4455;32.90454;1.92424;-0.9863625;100.4455;32.90454;1.92424;-0.9863625;0.06738281; ; ;73.84325;84.68266;162.9449;06-08-2019 13:06:01;S
 ;12;4;19;M;L;L;No;L;4;7.2;40;21.6;Center;S;S;No;SS; ; ; ;13;True;1; ;10.22656;10.29395;0.2695313;98.52122;73.89091;99.38712;73.69849;0.8658981;-0.192421;98.90606;74.27576;0.3848419;0.3848495;0.06738281; ; ;74.60914;86.29083;164.1468;06-08-2019 13:06:01;S
 ;12;4;19;M;L;L;No;L;4;7.2;40;21.6;Goal;S;S;No;SS; ; ; ;14;True;1; ;10.83203;10.86572;0.6054688;98.52122;33.89091;100.0606;35.50227;1.539391;1.611362;100.0606;35.50227;1.539391;1.611362;0.03369141; ; ;75.33676;87.77309;165.1611;06-08-2019 13:06:02;S
 ;12;4;19;M;L;L;No;L;5;7.2;-1;21.6;Outset;E;E;No;EE; ; ; ;15;True;1; ;12.41211;12.4458;1.580078;138.5212;73.89091;141.1432;68.40681;2.621964;-5.484093;140.9508;68.21439;2.42955;-5.676514;0.03369141; ; ;74.54372;83.02725;162.9713;06-08-2019 13:06:03;S
 ;12;4;19;M;L;L;No;L;5;7.2;39.99999;21.6;Center;E;E;No;EE; ; ; ;16;True;1; ;12.68115;12.74854;0.269043;98.52122;73.89091;100.6379;72.2553;2.116661;-1.635605;100.6379;72.12014;2.116661;-1.770767;0.06738281; ; ;73.80674;85.94891;163.2805;06-08-2019 13:06:04;S
 ;12;4;19;M;L;L;No;L;5;7.2;39.99999;21.6;Goal;E;E;No;EE; ; ; ;17;True;1; ;12.9165;12.9502;0.2353516;138.5212;73.89091;135.6591;68.98409;-2.862122;-4.906822;135.6591;68.98409;-2.862122;-4.906822;0.03369141; ; ;73.57055;83.27679;162.1752;06-08-2019 13:06:04;S
 ;12;4;19;M;L;L;No;L;6;7.2;-1;21.6;Outset;W;N;No;WN; ; ; ;18;True;1; ;14.70068;14.73389;1.78418;58.52121;73.89091;60.325;74.56439;1.803791;0.6734848;60.325;74.56439;1.803791;0.6734848;0.03320313; ; ;72.44754;86.61474;162.1031;06-08-2019 13:06:06;S
 ;12;4;19;M;L;L;No;L;6;7.2;40.00001;21.6;Center;W;N;No;WN; ; ; ;19;True;1; ;14.96973;15.03662;0.269043;98.52122;73.89091;102.0811;71.77424;3.559845;-2.116669;102.0811;71.4856;3.559845;-2.405304;0.06689453; ; ;73.91275;84.7651;163.0381;06-08-2019 13:06:06;S
 ;12;4;19;M;L;L;No;L;6;7.2;40.00001;21.6;Goal;W;N;No;WN; ; ; ;20;True;1; ;15.30566;15.37305;0.3359375;98.52122;113.8909;99.86818;113.5303;1.346962;-0.360611;99.38712;113.3379;0.8658981;-0.5530396;0.06738281; ; ;74.22355;88.12192;164.1063;06-08-2019 13:06:06;S
 ;12;4;19;M;L;L;No;L;7;7.2;-1;21.6;Outset;N;W;No;NW; ; ; ;21;True;1; ;16.98779;17.05469;1.682129;98.52122;113.8909;98.90606;117.1864;0.3848419;3.295448;98.60563;116.6582;0.08441162;2.76725;0.06689453; ; ;72.54328;87.17924;162.3023;06-08-2019 13:06:08;S
 ;12;4;19;M;L;L;No;L;7;7.2;40.00001;21.6;Center;N;W;No;NW; ; ; ;22;True;1; ;17.29004;17.39111;0.3022461;98.52122;73.89091;101.8886;71.19697;3.367416;-2.693939;101.4076;71.19697;2.88636;-2.693939;0.1010742; ; ;73.04819;83.89947;161.9208;06-08-2019 13:06:08;S
 ;12;4;19;M;L;L;No;L;7;7.2;40.00001;21.6;Goal;N;W;No;NW; ; ; ;23;True;1; ;17.59277;17.66016;0.3027344;58.52121;73.89091;61.07814;75.33409;2.556934;1.443184;60.13258;75.43031;1.611366;1.539398;0.06738281; ; ;73.30983;86.94086;163.0155;06-08-2019 13:06:09;S
 ;12;4;19;M;L;L;No;L;8;7.2;-1;21.6;Outset;W;S;No;WS; ; ; ;24;True;1; ;19.40918;19.47656;1.816406;58.52121;73.89091;57.34242;75.91136;-1.178787;2.020454;57.24622;75.71893;-1.274994;1.828026;0.06738281; ; ;70.7431;87.48902;160.5672;06-08-2019 13:06:10;S
 ;12;4;19;M;L;L;No;L;8;7.2;40.00001;21.6;Center;W;S;No;WS; ; ; ;25;True;1; ;19.74512;19.77832;0.3359375;98.52122;73.89091;101.1189;74.94924;2.597717;1.058334;101.1189;74.56439;2.597717;0.6734848;0.03320313; ; ;72.82684;86.00213;162.3393;06-08-2019 13:06:11;S
 ;12;4;19;M;L;L;No;L;8;7.2;40;21.6;Goal;W;S;No;WS; ; ; ;26;True;1; ;20.01416;20.08105;0.269043;98.52122;33.89091;98.90606;33.77045;0.3848419;-0.1204529;99.00227;33.67424;0.4810562;-0.2166634;0.06689453; ; ;73.23788;85.3645;162.5719;06-08-2019 13:06:11;S
 ;12;4;19;M;L;L;No;L;9;7.2;-1;21.6;Outset;W;S;No;WS; ; ; ;27;True;1; ;21.7627;21.83008;1.748535;58.52121;73.89091;57.15;70.81212;-1.371212;-3.078789;57.15;70.23485;-1.371212;-3.656059;0.06738281; ; ;71.24016;86.20901;160.8327;06-08-2019 13:06:13;S
 ;12;4;19;M;L;L;No;L;9;7.2;40.00001;21.6;Center;W;S;No;WS; ; ; ;28;True;1; ;22.06641;22.1333;0.3037109;98.52122;73.89091;98.04015;73.025;-0.4810638;-0.8659058;98.04015;72.73636;-0.4810638;-1.154549;0.06689453; ; ;71.53728;85.75078;161.0199;06-08-2019 13:06:13;S
 ;12;4;19;M;L;L;No;L;9;7.2;40;21.6;Goal;W;S;No;WS; ; ; ;29;True;1; ;22.33545;22.40283;0.269043;98.52122;33.89091;100.5417;33.96288;2.020447;0.07197189;100.5417;33.53906;2.020447;-0.3518448;0.06738281; ; ;72.49125;85.92094;161.9922;06-08-2019 13:06:13;S
 ;12;4;19;M;L;L;No;L;10;7.2;-1;21.6;Outset;E;E;No;EE; ; ; ;30;True;1; ;24.05029;24.11768;1.714844;138.5212;73.89091;140.1811;70.04242;1.659851;-3.848488;138.8075;69.69122;0.2863312;-4.199684;0.06738281; ; ;71.87709;85.192;161.2069;06-08-2019 13:06:15;S
 ;12;4;19;M;L;L;No;L;10;7.2;39.99999;21.6;Center;E;E;No;EE; ; ; ;31;True;1; ;24.35303;24.42041;0.3027344;98.52122;73.89091;97.07803;69.85;-1.443184;-4.040909;97.19907;69.53653;-1.322144;-4.354378;0.06738281; ; ;71.31433;86.46238;160.9578;06-08-2019 13:06:15;S
 ;12;4;19;M;L;L;No;L;10;7.2;39.99999;21.6;Goal;E;E;No;EE; ; ; ;32;True;1; ;24.62207;24.65576;0.269043;138.5212;73.89091;138.6417;71.19697;0.1204529;-2.693939;138.4492;71.19697;-0.07197571;-2.693939;0.03369141; ; ;72.86173;85.66321;162.2884;06-08-2019 13:06:16;S
 ;12;4;19;M;L;L;No;L;11;7.2;-1;21.6;Outset;S;S;No;SS; ; ; ;33;True;1; ;26.23633;26.30322;1.614258;98.52122;33.89091;100.1106;34.925;1.58934;1.034092;99.77197;34.925;1.250748;1.034092;0.06689453; ; ;71.43076;84.6409;160.618;06-08-2019 13:06:17;S
 ;12;4;19;M;L;L;No;L;11;7.2;40;21.6;Center;S;S;No;SS; ; ; ;34;True;1; ;26.57178;26.60547;0.3354492;98.52122;73.89091;101.7649;74.0283;3.24369;0.1373901;101.7649;74.0283;3.24369;0.1373901;0.03369141; ; ;70.40118;85.56754;159.8658;06-08-2019 13:06:18;S
 ;12;4;19;M;L;L;No;L;11;7.2;40;21.6;Goal;S;S;No;SS; ; ; ;35;True;1; ;26.80713;26.875;0.2353516;98.52122;33.89091;102.6583;36.75303;4.137108;2.862125;102.3697;36.56061;3.84848;2.669701;0.06787109; ; ;70.55636;85.1767;159.9198;06-08-2019 13:06:18;S
 ;12;4;19;M;L;L;No;L;12;7.2;-1;21.6;Outset;E;S;No;ES; ; ; ;36;True;1; ;28.42139;28.48877;1.614258;138.5212;73.89091;135.6591;76.39243;-2.862122;2.501518;134.7703;75.7006;-3.750946;1.809692;0.06738281; ; ;71.32872;83.84372;160.2679;06-08-2019 13:06:19;S
 ;12;4;19;M;L;L;No;L;12;7.2;39.99999;21.6;Center;E;S;No;ES; ; ; ;37;True;1; ;28.69043;28.75781;0.269043;98.52122;73.89091;98.90606;71.77424;0.3848419;-2.116669;98.425;71.4856;-0.09622192;-2.405304;0.06738281; ; ;70.99774;86.32748;160.6191;06-08-2019 13:06:20;S
 ;12;4;19;M;L;L;No;L;12;7.2;40;21.6;Goal;E;S;No;ES; ; ; ;38;True;1; ;28.99316;29.02686;0.3027344;98.52122;33.89091;102.8027;32.90454;4.281433;-0.9863625;102.7545;32.90454;4.233322;-0.9863625;0.03369141; ; ;70.94379;84.79221;160.1915;06-08-2019 13:06:20;S
 ;12;4;19;M;L;L;No;L;13;7.2;-1;21.6;Outset;W;W;No;WW; ; ; ;39;True;1; ;30.67529;30.70898;1.682129;58.52121;73.89091;61.47203;71.09324;2.950817;-2.797668;61.47954;70.90833;2.958332;-2.982574;0.03369141; ; ;69.98729;86.41882;159.6422;06-08-2019 13:06:22;S
 ;12;4;19;M;L;L;No;L;13;7.2;40.00001;21.6;Center;W;W;No;WW; ; ; ;40;True;1; ;30.91064;31.01172;0.2353516;98.52122;73.89091;98.04015;73.60227;-0.4810638;-0.2886353;97.62729;73.49673;-0.8939285;-0.3941803;0.1010742; ; ;69.48489;83.87933;158.5115;06-08-2019 13:06:22;S
 ;12;4;19;M;L;L;No;L;13;7.2;40.00001;21.6;Goal;W;W;No;WW; ; ; ;41;True;1; ;31.17969;31.21338;0.269043;58.52121;73.89091;62.53788;74.46819;4.01667;0.5772781;62.44166;74.46819;3.920452;0.5772781;0.03369141; ; ;71.05502;88.69;161.0063;06-08-2019 13:06:22;S
 ;12;4;19;M;L;L;No;L;14;7.2;-1;21.6;Outset;W;S;No;WS; ; ; ;42;True;1; ;32.82715;32.86084;1.647461;58.52121;73.89091;60.99849;71.00454;2.477276;-2.886368;60.99849;70.90833;2.477276;-2.982574;0.03369141; ; ;70.65158;86.47746;160.3082;06-08-2019 13:06:24;S
 ;12;4;19;M;L;L;No;L;14;7.2;40.00001;21.6;Center;W;S;No;WS; ; ; ;43;True;1; ;33.12988;33.19727;0.3027344;98.52122;73.89091;96.50076;71.58182;-2.020462;-2.30909;96.50076;71.4856;-2.020462;-2.405304;0.06738281; ; ;69.79603;85.26441;159.2008;06-08-2019 13:06:24;S
 ;12;4;19;M;L;L;No;L;14;7.2;40;21.6;Goal;W;S;No;WS; ; ; ;44;True;1; ;33.39893;33.46631;0.269043;98.52122;33.89091;99.09849;33.77045;0.5772705;-0.1204529;99.09849;33.55689;0.5772705;-0.3340187;0.06738281; ; ;70.23637;86.2952;159.8634;06-08-2019 13:06:24;S
 ;12;4;19;M;L;L;No;L;15;7.2;-1;21.6;Outset;S;N;No;SN; ; ; ;45;True;1; ;35.21484;35.28223;1.815918;98.52122;33.89091;103.2356;35.50227;4.714386;1.611362;102.7447;35.50227;4.223465;1.611362;0.06738281; ; ;70.00573;84.52621;159.2076;06-08-2019 13:06:26;S
 ;12;4;19;M;L;L;No;L;15;7.2;40;21.6;Center;S;N;No;SN; ; ; ;46;True;1; ;35.51709;35.58447;0.3022461;98.52122;73.89091;99.19469;73.89091;0.6734772;0;99.19469;73.75235;0.6734772;-0.1385574;0.06738281; ; ;70.11573;85.59278;159.5925;06-08-2019 13:06:27;S
 ;12;4;19;M;L;L;No;L;15;7.2;40.00001;21.6;Goal;S;N;No;SN; ; ; ;47;True;1; ;35.85303;35.92041;0.3359375;98.52122;113.8909;100.3492;115.3583;1.828018;1.467415;100.253;115.2621;1.731812;1.371208;0.06738281; ; ;70.33247;86.9018;160.0699;06-08-2019 13:06:27;S
 ;12;4;19;M;L;L;No;L;16;7.2;-1;21.6;Outset;E;E;No;EE; ; ; ;48;True;1; ;37.50098;37.56787;1.647949;138.5212;73.89091;137.9682;78.79773;-0.5530396;4.906822;137.6795;78.41288;-0.8416748;4.521973;0.06689453; ; ;71.27232;84.2899;160.3585;06-08-2019 13:06:29;S
 ;12;4;19;M;L;L;No;L;16;7.2;39.99999;21.6;Center;E;E;No;EE; ; ; ;49;True;1; ;37.77051;37.83789;0.2695313;98.52122;73.89091;94.4803;75.43031;-4.040916;1.539398;95.25;74.94924;-3.271217;1.058334;0.06738281; ; ;69.38801;85.51076;158.8609;06-08-2019 13:06:29;S
 ;12;4;19;M;L;L;No;L;16;7.2;39.99999;21.6;Goal;E;E;No;EE; ; ; ;50;True;1; ;38.00586;38.07324;0.2353516;138.5212;73.89091;137.872;69.56136;-0.649231;-4.329544;137.7758;69.27273;-0.7454529;-4.618179;0.06738281; ; ;71.19639;85.2982;160.5742;06-08-2019 13:06:29;S
 ;12;4;19;M;L;L;No;L;17;7.2;-1;21.6;Outset;E;W;No;EW; ; ; ;51;True;1; ;39.65381;39.6875;1.647949;138.5212;73.89091;140.0848;74.56439;1.563629;0.6734848;139.8728;74.44857;1.351593;0.557663;0.03369141; ; ;68.75949;85.05196;158.1357;06-08-2019 13:06:31;S
 ;12;4;19;M;L;L;No;L;17;7.2;39.99999;21.6;Center;E;W;No;EW; ; ; ;52;True;1; ;39.88965;39.99023;0.2358398;98.52122;73.89091;98.32878;73.31364;-0.1924362;-0.5772705;97.48787;73.07374;-1.033348;-0.8171692;0.1005859; ; ;68.33833;85.46024;157.8201;06-08-2019 13:06:31;S
