ID;StudyID;UserID;Age;Gender;PlayingHand;DominantHand;LongNails;DominantEye;Potition;TargetID;TargetSize;TargetDistance;ColliderSize;HitType;Outset;Goal;MistakeOccured;TargetCombition;RoundID;Repetition;Clockwise;TouchID;CrossTargets;Delay;ConditionID;TouchTime;LiftTime;DeltaHitTime;TargetX;TargetY;TouchX;TouchY;TouchOffsetX;TouchOffsetY;LiftX;LiftY;LiftOffsetX;LiftOffsetY;TouchDuration;TouchDeltaX;TouchDeltaY;RotationDegreeX;RotationDegreeY;RotationDegreeZ;TimeStamp
;12;13;23;M;R;R;No;R;C;0;7.2;-1;21.6;Outset;E;E;No;EE;;;;0;False;1;;2.116211;2.285156;2.116211;138.5212;73.89091;140.7583;74.17954;2.237122;0.2886353;139.8924;73.31364;1.371216;-0.5772705;0.1689453;;;89.70946;88.62512;178.5948;2019-08-07 12:59:17
;12;13;23;M;R;R;No;R;C;0;7.2;39.99999;21.6;Center;E;E;No;EE;;;;1;False;1;;3.52832;3.662109;1.412109;98.52122;73.89091;98.23257;75.43031;-0.2886429;1.539398;97.24879;75.04546;-1.27243;1.154549;0.1337891;;;89.69842;88.9339;178.8922;2019-08-07 12:59:18
;12;13;23;M;R;R;No;R;C;0;7.2;39.99999;21.6;Goal;E;E;No;EE;;;;2;False;1;;4.669922;4.771484;1.141602;138.5212;73.89091;140.4697;75.43031;1.948486;1.539398;139.8924;74.94924;1.371216;1.058334;0.1015625;;;89.64936;89.00416;178.9443;2019-08-07 12:59:19
;12;13;23;M;R;R;No;R;C;1;7.2;-1;21.6;Outset;E;N;No;EN;;;;3;False;1;;6.821289;6.955078;2.151367;138.5212;73.89091;138.8341;75.33409;0.3128815;1.443184;138.7379;74.94924;0.2166595;1.058334;0.1337891;;;89.71106;89.00629;178.965;2019-08-07 12:59:22
;12;13;23;M;R;R;No;R;C;1;7.2;39.99999;21.6;Center;E;N;No;EN;;;;4;False;1;;7.728516;7.795898;0.9072266;98.52122;73.89091;100.8303;73.50607;2.309082;-0.3848419;100.253;73.31364;1.731812;-0.5772705;0.06738281;;;89.50774;88.95918;178.8487;2019-08-07 12:59:22
;12;13;23;M;R;R;No;R;C;1;7.2;40.00001;21.6;Goal;E;N;No;EN;;;;5;False;1;;8.703125;8.770508;0.9746094;98.52122;113.8909;98.13636;114.6848;-0.3848572;0.7939301;98.04015;114.4924;-0.4810638;0.6015167;0.06738281;;;89.85892;89.083;179.0721;2019-08-07 12:59:23
;12;13;23;M;R;R;No;R;C;2;7.2;-1;21.6;Outset;W;W;No;WW;;;;6;False;1;;10.48438;10.58496;1.78125;58.52121;73.89091;58.01591;73.21742;-0.5052986;-0.6734848;57.9197;72.64015;-0.6015129;-1.250755;0.1005859;;;89.66236;88.9167;178.8653;2019-08-07 12:59:25
;12;13;23;M;R;R;No;R;C;2;7.2;40.00001;21.6;Center;W;W;No;WW;;;;7;False;1;;11.18945;11.25684;0.7050781;98.52122;73.89091;97.27045;75.23788;-1.250763;1.34697;97.55909;75.43031;-0.9621277;1.539398;0.06738281;;;89.92959;88.9297;178.9275;2019-08-07 12:59:26
;12;13;23;M;R;R;No;R;C;2;7.2;40.00001;21.6;Goal;W;W;No;WW;;;;8;False;1;;12.09766;12.19824;0.9082031;58.52121;73.89091;59.5553;73.12122;1.034092;-0.7696915;58.40076;72.73636;-0.1204529;-1.154549;0.1005859;;;89.53511;89.04202;178.9352;2019-08-07 12:59:27
;12;13;23;M;R;R;No;R;C;3;7.2;-1;21.6;Outset;E;N;No;EN;;;;9;False;1;;14.18066;14.28125;2.083008;138.5212;73.89091;139.3152;74.75681;0.7939453;0.8659058;139.3152;74.13144;0.7939453;0.2405319;0.1005859;;;89.63981;89.30786;179.2199;2019-08-07 12:59:29
;12;13;23;M;R;R;No;R;C;3;7.2;39.99999;21.6;Center;E;N;No;EN;;;;10;False;1;;14.81836;14.91895;0.6376953;98.52122;73.89091;99.57954;75.81515;1.058327;1.92424;99.29091;75.23788;0.7696915;1.34697;0.1005859;;;89.56468;88.96785;178.8799;2019-08-07 12:59:30
;12;13;23;M;R;R;No;R;C;3;7.2;40.00001;21.6;Goal;E;N;No;EN;;;;11;False;1;;15.5918;15.75977;0.7734375;98.52122;113.8909;97.55909;115.647;-0.9621277;1.756058;98.04015;115.2621;-0.4810638;1.371208;0.1679688;;;89.52232;89.0446;178.9319;2019-08-07 12:59:30
;12;13;23;M;R;R;No;R;C;4;7.2;-1;21.6;Outset;W;E;No;WE;;;;12;False;1;;17.50684;17.64063;1.915039;58.52121;73.89091;58.97803;72.2553;0.4568214;-1.635605;57.63106;71.67803;-0.8901482;-2.212875;0.1337891;;;89.4911;89.08112;178.9496;2019-08-07 12:59:32
;12;13;23;M;R;R;No;R;C;4;7.2;40.00001;21.6;Center;W;E;No;WE;;;;13;False;1;;18.24609;18.34668;0.7392578;98.52122;73.89091;98.90606;75.23788;0.3848419;1.34697;98.90606;74.94924;0.3848419;1.058334;0.1005859;;;89.66958;88.72042;178.6784;2019-08-07 12:59:33
;12;13;23;M;R;R;No;R;C;4;7.2;39.99999;21.6;Goal;W;E;No;WE;;;;14;False;1;;18.98535;19.08594;0.7392578;138.5212;73.89091;138.0644;74.17954;-0.4568176;0.2886353;138.0644;74.17954;-0.4568176;0.2886353;0.1005859;;;89.57172;88.58163;178.5182;2019-08-07 12:59:34
;12;13;23;M;R;R;No;R;C;5;7.2;-1;21.6;Outset;S;N;No;SN;;;;15;False;1;;20.9668;21.10156;1.981445;98.52122;33.89091;97.27045;34.05909;-1.250763;0.1681824;97.84772;33.48182;-0.6734924;-0.4090881;0.1347656;;;89.692;88.98498;178.9393;2019-08-07 12:59:36
;12;13;23;M;R;R;No;R;C;5;7.2;40;21.6;Center;S;N;No;SN;;;;16;False;1;;21.74023;21.80664;0.7734375;98.52122;73.89091;95.73106;72.92879;-2.790154;-0.9621201;95.82727;73.025;-2.693947;-0.8659058;0.06640625;;;89.495;88.37099;178.2944;2019-08-07 12:59:36
;12;13;23;M;R;R;No;R;C;5;7.2;40.00001;21.6;Goal;S;N;No;SN;;;;17;False;1;;22.44531;22.5459;0.7050781;98.52122;113.8909;99.86818;114.2038;1.346962;0.3128662;99.77197;114.0114;1.250748;0.1204529;0.1005859;;;89.39215;89.28361;179.0604;2019-08-07 12:59:37
;12;13;23;M;R;R;No;R;C;6;7.2;-1;21.6;Outset;N;E;No;NE;;;;18;False;1;;24.25977;24.42773;1.814453;98.52122;113.8909;99.09849;115.2621;0.5772705;1.371208;98.13636;114.6848;-0.3848572;0.7939301;0.1679688;;;89.43111;88.77789;178.652;2019-08-07 12:59:39
;12;13;23;M;R;R;No;R;C;6;7.2;40.00001;21.6;Center;N;E;No;NE;;;;19;False;1;;24.86426;24.99902;0.6044922;98.52122;73.89091;99.48334;73.12122;0.9621201;-0.7696915;98.71364;72.44772;0.192421;-1.443184;0.1347656;;;89.5981;89.13271;179.0441;2019-08-07 12:59:40
;12;13;23;M;R;R;No;R;C;6;7.2;39.99999;21.6;Goal;N;E;No;NE;;;;20;False;1;;25.40234;25.53711;0.5380859;138.5212;73.89091;139.2189;74.17954;0.6977234;0.2886353;139.2189;73.89091;0.6977234;0;0.1347656;;;89.5014;88.78505;178.6867;2019-08-07 12:59:40
;12;13;23;M;R;R;No;R;C;7;7.2;-1;21.6;Outset;N;S;No;NS;;;;21;False;1;;27.35156;27.45215;1.949219;98.52122;113.8909;98.61742;114.8773;0.09620667;0.9863586;98.425;114.4924;-0.09622192;0.6015167;0.1005859;;;89.64017;89.16039;179.0865;2019-08-07 12:59:42
;12;13;23;M;R;R;No;R;C;7;7.2;40.00001;21.6;Center;N;S;No;NS;;;;22;False;1;;28.02344;28.15723;0.671875;98.52122;73.89091;98.04015;74.85303;-0.4810638;0.9621201;98.04015;74.37196;-0.4810638;0.4810562;0.1337891;;;89.74645;88.97874;178.9478;2019-08-07 12:59:43
;12;13;23;M;R;R;No;R;C;7;7.2;40;21.6;Goal;N;S;No;NS;;;;23;False;1;;28.66211;28.72852;0.6386719;98.52122;33.89091;98.23257;30.59546;-0.2886429;-3.295452;98.23257;30.69167;-0.2886429;-3.19924;0.06640625;;;89.93629;89.59651;179.5917;2019-08-07 12:59:43
;12;13;23;M;R;R;No;R;C;8;7.2;-1;21.6;Outset;S;S;No;SS;;;;24;False;1;;30.47656;30.57715;1.814453;98.52122;33.89091;100.3492;32.90454;1.828018;-0.9863625;100.1568;32.61591;1.635597;-1.274998;0.1005859;;;89.79514;89.01808;178.9969;2019-08-07 12:59:45
;12;13;23;M;R;R;No;R;C;8;7.2;40;21.6;Center;S;S;No;SS;;;;25;False;1;;31.14844;31.24902;0.671875;98.52122;73.89091;96.40454;75.71893;-2.116676;1.828026;96.40454;75.71893;-2.116676;1.828026;0.1005859;;;89.59947;89.20595;179.1107;2019-08-07 12:59:46
;12;13;23;M;R;R;No;R;C;8;7.2;40;21.6;Goal;S;S;No;SS;;;;26;False;1;;32.05566;32.15625;0.9072266;98.52122;33.89091;99.09849;33.19318;0.5772705;-0.6977272;99.09849;32.90454;0.5772705;-0.9863625;0.1005859;;;89.62981;89.54438;179.4128;2019-08-07 12:59:47
;12;13;23;M;R;R;No;R;C;9;7.2;-1;21.6;Outset;E;N;No;EN;;;;27;False;1;;34.00391;34.13867;1.948242;138.5212;73.89091;137.1985;75.33409;-1.322723;1.443184;137.1985;74.85303;-1.322723;0.9621201;0.1347656;;;89.60567;88.55632;178.5034;2019-08-07 12:59:49
;12;13;23;M;R;R;No;R;C;9;7.2;39.99999;21.6;Center;E;N;No;EN;;;;28;False;1;;34.6416;34.70898;0.6376953;98.52122;73.89091;98.80984;73.31364;0.2886276;-0.5772705;98.80984;73.31364;0.2886276;-0.5772705;0.06738281;;;89.83115;88.96579;178.9521;2019-08-07 12:59:49
;12;13;23;M;R;R;No;R;C;9;7.2;40.00001;21.6;Goal;E;N;No;EN;;;;29;False;1;;35.28027;35.34766;0.6386719;98.52122;113.8909;98.425;113.9152;-0.09622192;0.02423859;98.52122;114.0114;0;0.1204529;0.06738281;;;89.72835;89.08223;179.0428;2019-08-07 12:59:50
;12;13;23;M;R;R;No;R;C;10;7.2;-1;21.6;Outset;E;E;No;EE;;;;30;False;1;;37.16211;37.33008;1.881836;138.5212;73.89091;138.0644;74.94924;-0.4568176;1.058334;137.1985;74.75681;-1.322723;0.8659058;0.1679688;;;89.62549;88.91177;178.849;2019-08-07 12:59:52
;12;13;23;M;R;R;No;R;C;10;7.2;39.99999;21.6;Center;E;E;No;EE;;;;31;False;1;;37.7334;37.86719;0.5712891;98.52122;73.89091;101.6962;73.79469;3.174995;-0.09621429;100.9265;73.50607;2.405296;-0.3848419;0.1337891;;;89.47988;88.86833;178.7545;2019-08-07 12:59:53
;12;13;23;M;R;R;No;R;C;10;7.2;39.99999;21.6;Goal;E;E;No;EE;;;;32;False;1;;38.57324;38.67383;0.8398438;138.5212;73.89091;139.2189;74.15155;0.6977234;0.260643;139.2189;74.03522;0.6977234;0.1443176;0.1005859;;;89.88711;89.25915;179.2506;2019-08-07 12:59:53
;12;13;23;M;R;R;No;R;C;11;7.2;-1;21.6;Outset;W;N;No;WN;;;;33;False;1;;40.45508;40.62305;1.881836;58.52121;73.89091;54.93712;73.98712;-3.584091;0.09621429;55.51439;73.89091;-3.006817;0;0.1679688;;;89.40034;88.99113;178.8263;2019-08-07 12:59:55
;12;13;23;M;R;R;No;R;C;11;7.2;40.00001;21.6;Center;W;N;No;WN;;;;34;False;1;;41.19434;41.29492;0.7392578;98.52122;73.89091;101.2151;73.98712;2.693932;0.09621429;100.5215;74.11353;2.000313;0.2226181;0.1005859;;;89.79614;89.20565;179.18;2019-08-07 12:59:56
;12;13;23;M;R;R;No;R;C;11;7.2;40.00001;21.6;Goal;W;N;No;WN;;;;35;False;1;;41.90039;42.00098;0.7060547;98.52122;113.8909;98.13636;114.1076;-0.3848572;0.2166519;98.13636;114.0114;-0.3848572;0.1204529;0.1005859;;;89.83819;88.99393;178.9809;2019-08-07 12:59:57
;12;13;23;M;R;R;No;R;C;12;7.2;-1;21.6;Outset;S;E;No;SE;;;;36;False;1;;43.74707;43.91504;1.84668;98.52122;33.89091;100.253;32.80833;1.731812;-1.082577;99.57954;32.80833;1.058327;-1.082577;0.1679688;;;89.762;88.98497;178.9575;2019-08-07 12:59:59
;12;13;23;M;R;R;No;R;C;12;7.2;40;21.6;Center;S;E;No;SE;;;;37;False;1;;44.45313;44.55371;0.7060547;98.52122;73.89091;97.43021;75.91136;-1.091011;2.020454;97.46288;75.81515;-1.058342;1.92424;0.1005859;;;89.76781;88.92345;178.8987;2019-08-07 12:59:59
;12;13;23;M;R;R;No;R;C;12;7.2;39.99999;21.6;Goal;S;E;No;SE;;;;38;False;1;;45.1582;45.25879;0.7050781;138.5212;73.89091;137.9682;74.34977;-0.5530396;0.4588623;137.9682;74.08334;-0.5530396;0.1924286;0.1005859;;;89.71169;89.09286;179.048;2019-08-07 13:00:00
;12;13;23;M;R;R;No;R;C;13;7.2;-1;21.6;Outset;W;N;No;WN;;;;39;False;1;;47.00586;47.10742;1.847656;58.52121;73.89091;56.28409;74.08334;-2.237122;0.1924286;55.70681;73.50607;-2.814396;-0.3848419;0.1015625;;;89.74214;88.94705;178.9159;2019-08-07 13:00:02
;12;13;23;M;R;R;No;R;C;13;7.2;40.00001;21.6;Center;W;N;No;WN;;;;40;False;1;;47.64453;47.74512;0.6386719;98.52122;73.89091;98.04015;75.62228;-0.4810638;1.731369;97.45948;75.23788;-1.061737;1.34697;0.1005859;;;89.75937;89.17194;179.1377;2019-08-07 13:00:02
;12;13;23;M;R;R;No;R;C;13;7.2;40.00001;21.6;Goal;W;N;No;WN;;;;41;False;1;;48.21582;48.34961;0.5712891;98.52122;113.8909;95.63485;114.2038;-2.886368;0.3128662;95.73106;114.0114;-2.790154;0.1204529;0.1337891;;;89.88055;88.953;178.9461;2019-08-07 13:00:03
