ID;StudyID;UserID;Age;Gender;PlayingHand;DominantHand;LongNails;DominantEye;TargetID;TargetSize;TargetDistance;ColliderSize;HitType;Outset;Goal;MistakeOccured;TargetCombition;RoundID;Repetition;Clockwise;TouchID;CrossTargets;Delay;ConditionID;TouchTime;LiftTime;DeltaHitTime;TargetX;TargetY;TouchX;TouchY;TouchOffsetX;TouchOffsetY;LiftX;LiftY;LiftOffsetX;LiftOffsetY;TouchDuration;TouchDeltaX;TouchDeltaY;RotationDegreeX;RotationDegreeY;RotationDegreeZ;TimeStamp;Potition
 ;12;17;26;M;L;L;no;L;0;7.2;-1;21.6;Outset;N;E;No;NE; ; ; ;0;False;1; ;0.9072266;0.9746094;0.9072266;98.52122;113.8909;96.50076;111.7985;-2.020462;-2.092438;97.55909;109.9705;-0.9621277;-3.920464;0.06738281; ; ;68.70387;87.42809;158.534;2019/08/07 15:19:59;C
 ;12;17;26;M;L;L;no;L;0;7.2;40.00001;21.6;Center;N;E;No;NE; ; ; ;1;False;1; ;1.277344;1.344727;0.3701172;98.52122;73.89091;101.2984;71.96667;2.777199;-1.92424;101.2151;71.87045;2.693932;-2.020454;0.06738281; ; ;65.85445;87.90524;155.7521;2019/08/07 15:20:00;C
 ;12;17;26;M;L;L;no;L;0;7.2;39.99999;21.6;Goal;N;E;No;NE; ; ; ;2;False;1; ;1.479492;1.545898;0.2021484;138.5212;73.89091;141.8167;66.48257;3.295456;-7.408333;141.8167;66.29015;3.295456;-7.600754;0.06640625; ; ;70.43348;87.36707;160.2427;2019/08/07 15:20:00;C
 ;12;17;26;M;L;L;no;L;1;7.2;-1;21.6;Outset;W;S;No;WS; ; ; ;3;False;1; ;3.259766;3.293945;1.780273;58.52121;73.89091;57.15;73.025;-1.371212;-0.8659058;57.72727;72.64015;-0.7939377;-1.250755;0.03417969; ; ;72.03951;88.70927;161.99;2019/08/07 15:20:02;C
 ;12;17;26;M;L;L;no;L;1;7.2;40.00001;21.6;Center;W;S;No;WS; ; ; ;4;False;1; ;3.461914;3.529297;0.2021484;98.52122;73.89091;103.9091;73.60227;5.387871;-0.2886353;103.9091;73.08323;5.387871;-0.8076782;0.06738281; ; ;71.51295;88.16454;161.4154;2019/08/07 15:20:02;C
 ;12;17;26;M;L;L;no;L;1;7.2;40;21.6;Goal;W;S;No;WS; ; ; ;5;False;1; ;3.730469;3.797852;0.2685547;98.52122;33.89091;101.1189;29.3447;2.597717;-4.546211;101.6;28.86364;3.078781;-5.027271;0.06738281; ; ;73.58189;88.7665;163.533;2019/08/07 15:20:02;C
 ;12;17;26;M;L;L;no;L;2;7.2;-1;21.6;Outset;N;S;No;NS; ; ; ;6;False;1; ;5.477539;5.510742;1.74707;98.52122;113.8909;96.21212;110.2591;-2.309097;-3.631828;96.21212;110.1629;-2.309097;-3.728043;0.03320313; ; ;69.25821;86.81041;158.9918;2019/08/07 15:20:04;C
 ;12;17;26;M;L;L;no;L;2;7.2;40.00001;21.6;Center;N;S;No;NS; ; ; ;7;False;1; ;5.779297;5.813477;0.3017578;98.52122;73.89091;98.89178;77.83561;0.3705673;3.944702;99.03285;76.86266;0.5116348;2.971748;0.03417969; ; ;72.25187;91.56181;162.1787;2019/08/07 15:20:04;C
 ;12;17;26;M;L;L;no;L;2;7.2;40;21.6;Goal;N;S;No;NS; ; ; ;8;False;1; ;6.048828;6.082031;0.2695313;98.52122;33.89091;103.8129;30.69167;5.291656;-3.19924;104.1621;30.15005;5.640846;-3.740858;0.03320313; ; ;77.0148;91.43662;166.9328;2019/08/07 15:20:05;C
 ;12;17;26;M;L;L;no;L;3;7.2;-1;21.6;Outset;S;E;No;SE; ; ; ;9;False;1; ;7.62793;7.695313;1.579102;98.52122;33.89091;100.7341;34.44394;2.212868;0.5530319;100.7341;34.44394;2.212868;0.5530319;0.06738281; ; ;72.52738;84.9773;161.7747;2019/08/07 15:20:06;C
 ;12;17;26;M;L;L;no;L;3;7.2;40;21.6;Center;S;E;No;SE; ; ; ;10;False;1; ;7.829102;7.896484;0.2011719;98.52122;73.89091;95.44242;75.33409;-3.078796;1.443184;96.21212;74.85303;-2.309097;0.9621201;0.06738281; ; ;73.55108;85.7288;162.9749;2019/08/07 15:20:06;C
 ;12;17;26;M;L;L;no;L;3;7.2;39.99999;21.6;Goal;S;E;No;SE; ; ; ;11;False;1; ;7.99707;8.064453;0.1679688;138.5212;73.89091;133.35;75.04546;-5.171219;1.154549;133.6386;74.46819;-4.882584;0.5772781;0.06738281; ; ;75.25673;83.53299;163.8413;2019/08/07 15:20:07;C
 ;12;17;26;M;L;L;no;L;4;7.2;-1;21.6;Outset;W;E;No;WE; ; ; ;12;False;1; ;9.710938;9.77832;1.713867;58.52121;73.89091;62.24924;75.52651;3.728031;1.635605;62.63409;74.85303;4.112877;0.9621201;0.06738281; ; ;71.63797;89.06741;161.6126;2019/08/07 15:20:08;C
 ;12;17;26;M;L;L;no;L;4;7.2;40.00001;21.6;Center;W;E;No;WE; ; ; ;13;False;1; ;9.979492;10.04688;0.2685547;98.52122;73.89091;103.428;72.64015;4.906807;-1.250755;103.428;72.35151;4.906807;-1.539398;0.06738281; ; ;69.73038;89.13526;159.7103;2019/08/07 15:20:08;C
 ;12;17;26;M;L;L;no;L;4;7.2;39.99999;21.6;Goal;W;E;No;WE; ; ; ;14;False;1; ;10.18164;10.24902;0.2021484;138.5212;73.89091;141.3356;75.04546;2.814392;1.154549;142.0091;74.56439;3.487869;0.6734848;0.06738281; ; ;75.00281;90.73307;164.9841;2019/08/07 15:20:09;C
 ;12;17;26;M;L;L;no;L;5;7.2;-1;21.6;Outset;N;W;No;NW; ; ; ;15;False;1; ;11.86133;11.92871;1.679688;98.52122;113.8909;96.69318;115.647;-1.828033;1.756058;97.81152;113.3141;-0.7097015;-0.5768204;0.06738281; ; ;70.19606;90.65722;160.1842;2019/08/07 15:20:10;C
