StudyID;UserID;Age;Gender;PlayingHand;TargetSize;TargetDistance;ColliderSize;HitType;TargetID;RoundID;TouchTime;LiftTime;DeltaHitTime;TargetX;TargetY;TouchX;TouchY;LiftX;LiftY;TouchOffsetX;TouchOffsetY;LiftOffsetX;LiftOffsetY;TouchDuration;TouchDeltaX;TouchDeltaY;Repetition;Delay;TargetCombination;DominantEye;LongNails;MistakeOccured;Clockwise;DominantHand;TouchID;Outset;Goal;CrossTargets
StudyID;UserID;Age;Gender;PlayingHand;TargetSize;TargetDistance;ColliderSize;HitType;TargetID;;TouchTime;LiftTime;DeltaHitTime;TargetX;TargetY;;;LiftX;LiftY;TouchOffsetX;TouchOffsetY;LiftOffsetX;LiftOffsetY;TouchDuration;;;;Delay;TargetCombination;DominantEye;LongNails;MistakeOccured;;DominantHand;TouchID;Outset;Goal;CrossTargets
11;1;22;FALSE;R;6;-1;18;Outset;0;;19.7215;19.85516;19.7215;58.52121;53.10909;;;61.54251;53.91204;3.246971;0.3848457;3.021297;0.802948;0.133667;;;;1;WE;R;No;No;;R;0;W;E;True
11;1;22;FALSE;R;6;40.00001;18;Center;0;;20.6546;20.71265;0.9331055;98.52122;53.10909;;;100.253;51.47349;0.9621201;-2.116665;1.731812;-1.635601;0.05804443;;;;1;WE;R;No;No;;R;1;W;E;True
11;1;22;FALSE;R;6;39.99999;18;Goal;0;;21.32642;21.42444;0.671814;138.5212;53.10909;;;139.1227;52.18003;0.6015167;-1.154545;0.6015167;-0.9290619;0.09802246;;;;1;WE;R;No;No;;R;2;W;E;True
11;1;22;FALSE;R;6;-1;18;Outset;1;;23.55927;23.61584;2.232849;58.52121;53.10909;;;60.325;55.03333;1.515152;1.924244;1.803791;1.924244;0.05657959;;;;1;WS;R;No;No;;R;3;W;S;True
11;1;22;FALSE;R;6;40.00001;18;Center;1;;24.2879;24.34436;0.7286377;98.52122;53.10909;;;100.1568;52.53181;1.346962;-0.5772743;1.635597;-0.5772743;0.05645752;;;;1;WS;R;No;No;;R;4;W;S;True
11;1;22;FALSE;R;6;40;18;Goal;1;;28.55475;28.59906;4.266846;98.52122;13.10909;;;101.0227;13.27727;1.346962;-0.409091;2.501511;0.1681814;0.04431152;;;;1;WS;R;No;No;;R;5;W;S;True
11;1;22;FALSE;R;6;-1;18;Outset;2;;30.63263;30.69257;2.077881;98.52122;13.10909;;;99.38923;14.04697;0.3848419;0.9378786;0.8680115;0.9378786;0.05993652;;;;1;SS;R;No;No;;R;6;S;S;True
11;1;22;FALSE;R;6;40;18;Center;2;;31.38831;31.43457;0.7556763;98.52122;53.10909;;;104.1015;50.41515;5.580299;-2.693939;5.580299;-2.693939;0.04626465;;;;1;SS;R;No;No;;R;7;S;S;True
11;1;22;FALSE;R;6;40;18;Goal;2;;32.33234;32.38605;0.9440308;98.52122;13.10909;;;97.75151;16.16364;-1.346977;3.054544;-0.7697067;3.054544;0.05371094;;;;1;SS;R;No;No;;R;8;S;S;True
