LogID;UserID;Time;TouchID;TouchX;TouchY;TouchDeltaX;TouchDeltaY;FirstTouchX;FirstTouchY
0;6;1.224121;0;130.6786;56.75227;0;0;130.6786;56.75227
1;6;1.231689;0;130.6786;56.75227;0;0;130.6786;56.75227
2;6;1.249268;0;130.6786;56.75227;0;0;130.6786;56.75227
3;6;1.264648;0;130.6786;56.82295;0;0.07067871;130.6786;56.75227
4;6;1.282227;0;130.6786;56.94935;0;0.1264038;130.6786;56.75227
5;6;1.299561;0;130.6786;57.04895;0;0.09959793;130.6786;56.75227
6;6;1.886475;1;87.0013;56.3989;0;0;87.0013;56.3989
7;6;1.904297;1;87.0013;56.3989;0;0;87.0013;56.3989
8;6;1.92041;1;87.1592;56.3989;0.1578979;0;87.0013;56.3989
9;6;1.941162;1;87.26342;56.3989;0.1042175;0;87.0013;56.3989
10;6;1.954346;1;87.36737;56.3989;0.1039505;0;87.0013;56.3989
11;6;1.971436;1;87.47012;56.51433;0.1027451;0.1154366;87.0013;56.3989
12;6;2.376709;2;48.69529;54.70269;0;0;48.69529;54.70269
13;6;2.392822;2;48.77417;54.70269;0.07888031;0;48.69529;54.70269
14;6;2.408203;2;48.87798;54.70269;0.1038132;0;48.69529;54.70269
15;6;2.424805;2;48.98114;54.70269;0.1031647;0;48.69529;54.70269
16;6;2.443848;2;49.084;54.70269;0.1028557;0;48.69529;54.70269
17;6;4.095947;3;92.86736;16.39667;0;0;92.86736;16.39667
18;6;4.106445;3;92.86736;16.39667;0;0;92.86736;16.39667
19;6;4.122559;3;92.86736;16.50268;0;0.1060123;92.86736;16.39667
20;6;4.140137;3;92.86736;16.60611;0;0.1034241;92.86736;16.39667
21;6;4.157959;3;92.86736;16.70981;0;0.1037025;92.86736;16.39667
22;6;4.174561;3;92.86736;16.81286;0;0.103054;92.86736;16.39667
23;6;4.190186;3;92.96284;16.91621;0.09548187;0.1033459;92.86736;16.39667
24;6;4.461182;4;90.81777;55.40944;0;0;90.81777;55.40944
25;6;4.477295;4;90.81777;55.49488;0;0.0854454;90.81777;55.40944
26;6;4.493896;4;90.81777;55.59859;0;0.1037064;90.81777;55.40944
27;6;4.509766;4;90.81777;55.70062;0;0.1020279;90.81777;55.40944
28;6;4.526367;4;90.70518;55.80473;-0.112587;0.1041069;90.81777;55.40944
29;6;4.543457;4;90.60229;55.98174;-0.10289;0.1770134;90.81777;55.40944
30;6;4.559814;4;90.49973;56.18687;-0.102562;0.2051277;90.81777;55.40944
31;6;4.578857;4;90.53506;56.25618;0.03533173;0.06931686;90.81777;55.40944
32;6;4.878906;5;89.82832;100.995;0;0;89.82832;100.995
33;6;4.896973;5;89.82832;100.995;0;0;89.82832;100.995
34;6;4.912842;5;89.98577;100.995;0.1574554;0;89.82832;100.995
35;6;4.931641;5;89.98577;100.995;0;0;89.82832;100.995
36;6;4.945801;5;89.96967;100.995;-0.01610565;0;89.82832;100.995
37;6;4.963135;5;89.96967;100.995;0;0;89.82832;100.995
38;6;4.979736;5;89.82362;100.995;-0.1460419;0;89.82832;100.995
39;6;4.996582;5;89.75764;100.995;-0.06598663;0;89.82832;100.995
40;6;5.02124;5;89.75764;101.0655;0;0.07045746;89.82832;100.995
41;6;6.585205;6;93.2914;18.44625;0;0;93.2914;18.44625
42;6;6.596191;6;93.2914;18.44625;0;0;93.2914;18.44625
43;6;6.612793;6;93.2914;18.44625;0;0;93.2914;18.44625
44;6;6.630127;6;93.2914;18.44625;0;0;93.2914;18.44625
45;6;6.644531;6;93.24446;18.56387;-0.04694366;0.1176186;93.2914;18.44625
46;6;6.661133;6;93.14146;18.66688;-0.1030045;0.1030083;93.2914;18.44625
47;6;6.677979;6;93.07938;18.77047;-0.06208038;0.10359;93.2914;18.44625
48;6;6.695313;6;93.07938;18.87427;0;0.103796;93.2914;18.44625
49;6;6.949951;7;93.92748;55.40944;0;0;93.92748;55.40944
50;6;6.963623;7;93.92748;55.40944;0;0;93.92748;55.40944
51;6;6.981201;7;94.06247;55.48011;0.1349869;0.0706749;93.92748;55.40944
52;6;6.99707;7;94.06883;55.57704;0.006362915;0.09692383;93.92748;55.40944
