LogID;UserID;Time;TouchID;TouchX;TouchY;TouchDeltaX;TouchDeltaY;FirstTouchX;FirstTouchY
0;5;6.647461;0;97.17424;93.32576;0;0;97.17424;93.32576
1;5;6.668945;0;97.17424;93.32576;0;0;97.17424;93.32576
2;5;6.703125;0;97.17424;93.32576;0;0;97.17424;93.32576
3;5;6.710938;0;97.17424;93.32576;0;0;97.17424;93.32576
4;5;6.722656;0;97.17424;93.54316;0;0.2173996;97.17424;93.32576
5;5;7.280762;1;98.32878;49.64545;0;0;98.32878;49.64545
6;5;7.306641;1;98.32878;49.64545;0;0;98.32878;49.64545
7;5;7.317383;1;98.32878;49.64545;0;0;98.32878;49.64545
8;5;7.334961;1;98.32878;49.64545;0;0;98.32878;49.64545
9;5;7.350586;1;98.12486;49.84939;-0.2039261;0.2039337;98.32878;49.64545
10;5;7.719727;2;97.36666;13.27727;0;0;97.36666;13.27727
11;5;7.737305;2;97.36666;13.27727;0;0;97.36666;13.27727
12;5;7.747559;2;97.36666;13.27727;0;0;97.36666;13.27727
13;5;7.765137;2;97.36666;13.27727;0;0;97.36666;13.27727
14;5;7.78418;2;96.6883;13.50339;-0.67836;0.22612;97.36666;13.27727
15;5;9.526855;3;58.49697;48.49091;0;0;58.49697;48.49091
16;5;9.546387;3;58.49697;48.49091;0;0;58.49697;48.49091
17;5;9.559082;3;58.49697;48.49091;0;0;58.49697;48.49091
18;5;9.577637;3;58.70845;48.49091;0.2114868;0;58.49697;48.49091
19;5;9.601074;3;58.68939;48.74932;-0.01906204;0.258419;58.49697;48.49091
20;5;9.611328;3;58.68939;48.74932;0;0;58.49697;48.49091
21;5;10.04053;4;92.74849;56.18788;0;0;92.74849;56.18788
22;5;10.06201;4;92.74849;56.18788;0;0;92.74849;56.18788
23;5;10.0874;4;92.95845;56.39784;0.2099609;0.2099648;92.74849;56.18788
24;5;10.0957;4;92.95845;56.39784;0;0;92.74849;56.18788
25;5;10.11133;4;92.95845;56.39784;0;0;92.74849;56.18788
26;5;10.6333;5;57.53485;53.87878;0;0;57.53485;53.87878
27;5;10.65576;5;57.53485;53.87878;0;0;57.53485;53.87878
28;5;10.66602;5;57.53485;53.59015;0;-0.2886314;57.53485;53.87878
29;5;10.68359;5;57.53485;53.39773;0;-0.1924248;57.53485;53.87878
30;5;10.69873;5;57.53485;53.39773;0;0;57.53485;53.87878
31;5;10.71582;5;57.53485;53.39773;0;0;57.53485;53.87878
32;5;12.3916;6;96.98181;13.08485;0;0;96.98181;13.08485
33;5;12.40771;6;96.98181;13.08485;0;0;96.98181;13.08485
34;5;12.42334;6;96.98181;13.08485;0;0;96.98181;13.08485
35;5;12.43994;6;96.98181;13.08485;0;0;96.98181;13.08485
36;5;12.90381;7;101.4076;51.76212;0;0;101.4076;51.76212
37;5;12.92188;7;101.4076;51.76212;0;0;101.4076;51.76212
38;5;12.9375;7;101.4076;51.76212;0;0;101.4076;51.76212
39;5;12.95361;7;101.4076;53.23343;0;1.471313;101.4076;51.76212
40;5;13.3833;8;98.13636;92.94091;0;0;98.13636;92.94091
41;5;13.40479;8;98.13636;92.94091;0;0;98.13636;92.94091
42;5;13.42139;8;98.13636;92.94091;0;0;98.13636;92.94091
43;5;13.4375;8;98.13636;93.16632;0;0.2254105;98.13636;92.94091
44;5;14.95313;9;99.67576;103.5242;0;0;99.67576;103.5242
45;5;14.97217;9;99.67576;103.5242;0;0;99.67576;103.5242
46;5;14.98975;9;99.67576;103.5242;0;0;99.67576;103.5242
47;5;15.01807;9;100.0475;103.5242;0.3717575;0;99.67576;103.5242
48;5;15.02588;9;100.0475;103.5242;0;0;99.67576;103.5242
49;5;15.72852;10;96.40454;92.17121;0;0;96.40454;92.17121
50;5;15.75977;10;96.40454;92.39436;0;0.2231445;96.40454;92.17121
51;5;15.76709;10;96.40454;92.39436;0;0;96.40454;92.17121
52;5;16.16504;11;94.86515;50.99242;0;0;94.86515;50.99242
53;5;16.17773;11;94.86515;50.99242;0;0;94.86515;50.99242
54;5;16.20068;11;94.86515;50.99242;0;0;94.86515;50.99242
55;5;16.21143;11;94.86515;50.99242;0;0;94.86515;50.99242
56;5;16.23291;11;94.86515;51.18866;0;0.1962318;94.86515;50.99242
57;5;16.24512;11;94.86515;51.18866;0;0;94.86515;50.99242
58;5;16.63037;12;96.21212;13.08485;0;0;96.21212;13.08485
59;5;16.65088;12;96.21212;13.08485;0;0;96.21212;13.08485
60;5;16.66016;12;96.21212;13.08485;0;0;96.21212;13.08485
61;5;16.67725;12;96.21212;13.08485;0;0;96.21212;13.08485
62;5;18.20313;13;99.67576;92.94091;0;0;99.67576;92.94091
63;5;18.21973;13;99.67576;92.94091;0;0;99.67576;92.94091
64;5;18.23438;13;99.67576;92.94091;0;0;99.67576;92.94091
65;5;18.60498;14;97.36666;56.18788;0;0;97.36666;56.18788
66;5;18.63135;14;97.36666;56.18788;0;0;97.36666;56.18788
67;5;18.64014;14;97.36666;56.18788;0;0;97.36666;56.18788
68;5;18.65723;14;97.36666;56.18788;0;0;97.36666;56.18788
69;5;19.03711;15;97.17424;12.89242;0;0;97.17424;12.89242
70;5;19.05615;15;97.17424;12.89242;0;0;97.17424;12.89242
71;5;19.07666;15;97.17424;12.89242;0;0;97.17424;12.89242
72;5;20.78857;16;58.30454;50.0303;0;0;58.30454;50.0303
73;5;20.80225;16;58.30454;50.0303;0;0;58.30454;50.0303
74;5;20.82959;16;58.30454;50.0303;0;0;58.30454;50.0303
75;5;20.83789;16;58.30454;50.27338;0;0.2430725;58.30454;50.0303
76;5;20.85059;16;58.30454;50.27338;0;0;58.30454;50.0303
77;5;21.26172;17;96.98181;51.56969;0;0;96.98181;51.56969
78;5;21.2876;17;96.98181;52.12447;0;0.5547714;96.98181;51.56969
79;5;21.72949;18;96.98181;93.71061;0;0;96.98181;93.71061
80;5;21.74463;18;96.98181;93.71061;0;0;96.98181;93.71061
81;5;21.76367;18;96.98181;93.71061;0;0;96.98181;93.71061
82;5;21.78662;18;96.75947;94.1553;-0.2223434;0.4446945;96.98181;93.71061
83;5;23.41064;19;95.44242;97.94393;0;0;95.44242;97.94393
84;5;23.42139;19;95.44242;97.94393;0;0;95.44242;97.94393
85;5;23.44385;19;94.6148;99.19502;-0.8276215;1.251091;95.44242;97.94393
86;5;23.45313;19;94.6148;99.19502;0;0;95.44242;97.94393
87;5;23.83643;20;95.44242;53.49393;0;0;95.44242;53.49393
88;5;23.85693;20;95.44242;53.49393;0;0;95.44242;53.49393
89;5;23.88184;20;95.44242;53.49393;0;0;95.44242;53.49393
90;5;23.89063;20;95.44242;53.71959;0;0.2256584;95.44242;53.49393
