ID;StudyID;LogID;UserID;Time;TouchID;TouchX;TouchY;TouchDeltaX;TouchDeltaY;FirstTouchX;FirstTouchY;AccelerationX,AccelerationY;AccelerationZ;RotationDegreeX;RotationDegreeY;RotationDegreeZ;TimeStamp;Potition
 ;12;0;9;1.275879;0;140.4697;79.08636;0;0;140.4697;79.08636;0.009024897;0.02012308;-1.017496;89.49191;88.86705;178.7582;2019/08/07 11:08:33;C
 ;12;1;9;1.30957;0;140.3254;79.08636;-0.1443176;0;140.4697;79.08636;0.007195525;0.01865958;-1.025789;89.59816;88.9579;178.8832;2019/08/07 11:08:33;C
 ;12;2;9;1.343262;0;140.1811;79.08636;-0.1443176;0;140.4697;79.08636;0.01000056;0.01707413;-0.9782255;89.41436;89.0001;178.8411;2019/08/07 11:08:33;C
 ;12;3;9;1.51123;1;104.0053;72.64015;0;0;104.0053;72.64015;0.008902938;0.01768392;-0.9733473;89.47603;88.95919;178.8347;2019/08/07 11:08:33;C
 ;12;4;9;1.544434;1;104.0053;72.34481;0;-0.2953415;104.0053;72.64015;0.006829652;0.01744;-0.9844454;89.60257;88.9851;178.91;2019/08/07 11:08:33;C
 ;12;5;9;1.779785;2;96.11591;40.60152;0;0;96.11591;40.60152;0.007683358;0.01487888;-0.9972511;89.55862;89.14523;179.0379;2019/08/07 11:08:33;C
 ;12;6;9;1.813477;2;96.01969;40.35233;-0.09622192;-0.2491875;96.11591;40.60152;0.005122238;0.01597651;-0.9544438;89.69255;89.04102;178.9928;2019/08/07 11:08:33;C
 ;12;7;9;3.458496;3;97.94393;38.38863;0;0;97.94393;38.38863;0.01048839;0.01475693;-0.9937143;89.39534;89.14925;178.9562;2019/08/07 11:08:35;C
 ;12;8;9;3.492188;3;98.03912;38.48383;0.09519196;0.09519196;97.94393;38.38863;0.0075614;0.01536672;-1.030911;89.5798;89.14603;179.0484;2019/08/07 11:08:35;C
 ;12;9;9;3.693848;4;103.428;76.2;0;0;103.428;76.2;0.004268532;0.01548867;-0.977128;89.74973;89.09187;179.0579;2019/08/07 11:08:35;C
 ;12;10;9;3.89502;5;134.0235;70.13864;0;0;134.0235;70.13864;0.006707693;0.02085483;-1.023838;89.6247;88.83311;178.7741;2019/08/07 11:08:35;C
 ;12;11;9;3.928711;5;133.9235;70.04242;-0.09999084;-0.09622192;134.0235;70.13864;0.004878322;0.01524476;-0.9923728;89.71838;89.1199;179.0761;2019/08/07 11:08:35;C
 ;12;12;9;5.541016;6;100.7341;33.28939;0;0;100.7341;33.28939;0.003536784;0.01439105;-0.9015139;89.77525;89.08546;179.0583;2019/08/07 11:08:37;C
 ;12;13;9;5.708984;7;99.57954;74.46819;0;0;99.57954;74.46819;0.0003658742;0.02256224;-1.117746;89.98124;88.84361;178.8436;2019/08/07 11:08:37;C
 ;12;14;9;5.742676;7;99.57954;74.46819;0;0;99.57954;74.46819;0.008659022;0.01695217;-0.9439554;89.47451;88.97119;178.8449;2019/08/07 11:08:37;C
 ;12;15;9;6.212891;8;99.19469;34.63636;0;0;99.19469;34.63636;-0.001707413;0.01329343;-1.009691;90.09688;89.24569;179.2395;2019/08/07 11:08:37;C
 ;12;16;9;7.858398;9;102.947;36.07954;0;0;102.947;36.07954;0.006463777;0.007439442;-0.828827;89.55318;89.48575;179.3187;2019/08/07 11:08:39;C
 ;12;17;9;7.89209;9;102.947;36.07954;0;0;102.947;36.07954;0.009146854;0.01573259;-0.9645663;89.45676;89.06559;178.9192;2019/08/07 11:08:39;C
 ;12;18;9;8.060059;10;95.05757;74.46819;0;0;95.05757;74.46819;0.003902658;0.01841567;-0.977006;89.77116;88.92016;178.8962;2019/08/07 11:08:39;C
 ;12;19;9;8.093262;10;95.05757;74.46819;0;0;95.05757;74.46819;0.01097623;0.01841567;-0.9837137;89.36083;88.92757;178.7515;2019/08/07 11:08:39;C
 ;12;20;9;8.26123;11;95.15379;33.28939;0;0;95.15379;33.28939;-0.008659022;0.008293148;-0.8690732;90.57082;89.45329;179.2097;2019/08/07 11:08:40;C
 ;12;21;9;8.294922;11;95.02306;33.15866;-0.130722;-0.1307259;95.15379;33.28939;0.01731804;0.02365986;-1.037497;89.04395;88.69379;178.3812;2019/08/07 11:08:40;C
 ;12;22;9;9.940918;12;137.4871;72.44772;0;0;137.4871;72.44772;0.008902938;0.01853763;-0.9909093;89.48531;88.92829;178.8112;2019/08/07 11:08:41;C
 ;12;23;9;10.10889;13;101.8886;75.91136;0;0;101.8886;75.91136;0.0128056;0.02158658;-0.9482239;89.22647;88.69598;178.4838;2019/08/07 11:08:41;C
 ;12;24;9;10.14258;13;101.6792;75.81515;-0.2094269;-0.09621429;101.8886;75.91136;0.006585735;0.01780588;-0.9709082;89.61143;88.94936;178.8797;2019/08/07 11:08:41;C
 ;12;25;9;10.17578;13;101.5038;75.51119;-0.1754227;-0.3039551;101.8886;75.91136;0.01000056;0.01634238;-0.9824941;89.4169;89.0471;178.8828;2019/08/07 11:08:41;C
 ;12;26;9;10.30957;14;61.86439;72.06288;0;0;61.86439;72.06288;-0.02305007;0.00939077;-1.114575;91.18469;89.51737;178.7207;2019/08/07 11:08:42;C
 ;12;27;9;10.34326;14;61.65562;72.06288;-0.2087669;0;61.86439;72.06288;0.009756644;0.01609846;-0.980055;89.4297;89.05898;178.8996;2019/08/07 11:08:42;C
 ;12;28;9;11.98877;15;55.61061;74.37196;0;0;55.61061;74.37196;0.006829652;0.01707413;-0.9459068;89.58638;88.96591;178.8862;2019/08/07 11:08:43;C
 ;12;29;9;12.02246;15;55.66512;74.37196;0.05451584;0;55.61061;74.37196;0.006829652;0.01378126;-1.0003;89.60885;89.21069;179.119;2019/08/07 11:08:43;C
 ;12;30;9;12.15674;16;94.4803;78.12424;0;0;94.4803;78.12424;0.002317203;0.01817175;-1.140308;89.88358;89.08702;179.0797;2019/08/07 11:08:43;C
 ;12;31;9;12.19043;16;94.70811;78.12424;0.2278061;0;94.4803;78.12424;0.01073231;0.0226842;-0.9788354;89.37198;88.6725;178.5314;2019/08/07 11:08:43;C
 ;12;32;9;12.42529;17;151.2455;92.26743;0;0;151.2455;92.26743;0.001829371;0.01573259;-0.979933;89.89305;89.0802;179.0738;2019/08/07 11:08:44;C
 ;12;33;9;13.76855;18;140.1811;75.52651;0;0;140.1811;75.52651;0.006585735;0.020367;-1.062255;89.64484;88.9016;178.8456;2019/08/07 11:08:45;C
