LogID;UserID;Time;TouchID;TouchX;TouchY;TouchDeltaX;TouchDeltaY;FirstTouchX;FirstTouchY
0;4;4.122559;0;94.4803;93.71061;0;0;94.4803;93.71061
1;4;4.154297;0;94.4803;93.71061;0;0;94.4803;93.71061
2;4;4.164551;0;94.4803;93.71061;0;0;94.4803;93.71061
3;4;4.177246;0;94.4803;93.71061;0;0;94.4803;93.71061
4;4;4.690918;1;98.13636;49.83788;0;0;98.13636;49.83788
5;4;4.713867;1;98.13636;49.83788;0;0;98.13636;49.83788
6;4;4.724121;1;98.13636;49.83788;0;0;98.13636;49.83788
7;4;5.068848;2;136.6212;54.64849;0;0;136.6212;54.64849
8;4;5.089844;2;136.6212;54.93266;0;0.2841759;136.6212;54.64849
9;4;5.112305;2;136.9099;55.41818;0.2886353;0.4855194;136.6212;54.64849
10;4;6.778809;3;56.57273;52.72424;0;0;56.57273;52.72424
11;4;6.800781;3;56.57273;52.72424;0;0;56.57273;52.72424
12;4;6.809082;3;56.57273;52.72424;0;0;56.57273;52.72424
13;4;7.117188;4;95.82727;52.14697;0;0;95.82727;52.14697
14;4;7.13916;4;95.82727;52.14697;0;0;95.82727;52.14697
15;4;7.15625;4;95.82727;52.3642;0;0.2172279;95.82727;52.14697
16;4;7.501953;5;90.63181;92.55606;0;0;90.63181;92.55606
17;4;7.516113;5;90.63181;92.55606;0;0;90.63181;92.55606
18;4;7.532715;5;90.90137;92.82561;0.2695541;0.2695541;90.63181;92.55606
19;4;7.550293;5;91.68344;93.32128;0.782074;0.4956665;90.63181;92.55606
20;4;9.132324;6;95.63485;94.28788;0;0;95.63485;94.28788
21;4;9.152832;6;95.63485;94.28788;0;0;95.63485;94.28788
22;4;9.174805;6;95.48575;94.09545;-0.1491013;-0.1924286;95.63485;94.28788
23;4;9.191895;6;95.34621;94.09545;-0.139534;0;95.63485;94.28788
24;4;9.559082;7;98.32878;55.41818;0;0;98.32878;55.41818
25;4;9.578613;7;98.32878;55.41818;0;0;98.32878;55.41818
26;4;9.594238;7;98.32878;55.41818;0;0;98.32878;55.41818
27;4;10.20361;8;96.98181;91.59393;0;0;96.98181;91.59393
28;4;10.21729;8;96.98181;91.59393;0;0;96.98181;91.59393
29;4;10.23242;8;96.98181;91.59393;0;0;96.98181;91.59393
30;4;10.25;8;97.22474;91.59393;0.2429276;0;96.98181;91.59393
31;4;11.95654;9;99.67576;88.32272;0;0;99.67576;88.32272
32;4;11.97803;9;99.99519;88.67487;0.3194351;0.35215;99.67576;88.32272
33;4;11.99316;9;101.0818;88.19697;1.086617;-0.4779053;99.67576;88.32272
34;4;12.0166;9;101.7862;87.84479;0.7043686;-0.3521805;99.67576;88.32272
35;4;12.30371;10;98.71364;55.61061;0;0;98.71364;55.61061
36;4;12.32275;10;98.71364;55.61061;0;0;98.71364;55.61061
37;4;12.34033;10;98.71364;55.61061;0;0;98.71364;55.61061
38;4;12.63379;11;56.76515;51.56969;0;0;56.76515;51.56969
39;4;12.65137;11;56.76515;51.56969;0;0;56.76515;51.56969
40;4;14.37256;12;99.67576;13.4697;0;0;99.67576;13.4697
41;4;14.39307;12;99.67576;13.4697;0;0;99.67576;13.4697
42;4;14.40869;12;99.67576;13.4697;0;0;99.67576;13.4697
43;4;14.74365;13;94.86515;52.72424;0;0;94.86515;52.72424
44;4;14.75977;13;94.86515;52.72424;0;0;94.86515;52.72424
