UserID;Age;Gender;DominantHand;DominantEye;LongNails;TargetSize;ColliderSize;Delay;TouchID;TargetID;TargetCombination;Outset;Goal;MistakeOccured;HitType;TouchTime;LiftTime;DeltaHitTime;TargetX;TargetY;TargetDistance;LiftX;LiftY;TouchOffsetX;TouchOffsetY;LiftOffsetX;LiftOffsetY;TouchDuration;CrossTargets
6;22;F;L;R;Yes;6;18;1;0;0;WS;W;S;No;Outset;5.039307;5.139648;5.039307;50.46439;56.54025;-1;50.39149;56.9643;-0.07289886;0.3533745;-0.07289886;0.4240532;0.1003418;True
6;22;F;L;R;Yes;6;18;1;1;0;WS;W;S;No;Center;6.030273;6.115479;0.9909668;90.46439;56.54025;40;91.38317;56.9643;0.9187775;0.0706749;0.9187775;0.4240532;0.08520508;True
6;22;F;L;R;Yes;6;18;1;2;0;WS;W;S;No;Goal;6.784912;6.870605;0.7546387;90.46439;16.54025;39.99999;90.25237;15.33654;-0.3533783;-1.769111;-0.2120285;-1.20371;0.08569336;True
6;22;F;L;R;Yes;6;18;1;3;1;NW;N;W;No;Outset;8.569092;8.67041;1.78418;90.46439;96.54025;-1;89.05089;96.96652;-1.484177;0.4262772;-1.413506;0.4262772;0.1013184;True
6;22;F;L;R;Yes;6;18;1;4;1;NW;N;W;No;Center;9.206299;9.30957;0.637207;90.46439;56.54025;40;91.80049;57.67105;1.272156;1.625534;1.336098;1.130802;0.1032715;True
6;22;F;L;R;Yes;6;18;1;5;1;NW;N;W;No;Goal;9.743896;9.828125;0.5375977;50.46439;56.54025;40;51.02757;57.10565;0.4925003;0.4947281;0.563179;0.565403;0.08422852;True
6;22;F;L;R;Yes;6;18;1;6;2;NN;N;N;No;Outset;11.37476;11.45874;1.630859;90.46439;96.54025;-1;89.40426;95.6237;-1.342827;-1.199257;-1.060135;-0.9165497;0.08398438;True
6;22;F;L;R;Yes;6;18;1;7;2;NN;N;N;No;Center;12.03784;12.18115;0.6630859;90.46439;56.54025;40;89.68697;58.16578;-0.6360779;1.48418;-0.7774277;1.625534;0.1433105;True
6;22;F;L;R;Yes;6;18;1;8;2;NN;N;N;No;Goal;12.99414;13.0896;0.9562988;90.46439;96.54025;40;90.11102;94.77558;-0.4240494;-1.835335;-0.3533783;-1.764664;0.09545898;True
6;22;F;L;R;Yes;6;18;1;9;3;WE;W;E;No;Outset;14.7522;14.82056;1.758057;50.46439;56.54025;-1;47.14043;57.10565;-3.818691;0.4947281;-3.323963;0.565403;0.06835938;True
6;22;F;L;R;Yes;6;18;1;10;3;WE;W;E;No;Center;15.22656;15.33936;0.4743652;90.46439;56.54025;40;88.06143;58.80185;-2.332283;2.049583;-2.402962;2.261608;0.112793;True
6;22;F;L;R;Yes;6;18;1;11;3;WE;W;E;No;Goal;15.84326;15.98193;0.6166992;130.4644;56.54025;40.00001;130.6272;59.60503;0.4969482;2.968361;0.1627502;3.064781;0.1386719;True
6;22;F;L;R;Yes;6;18;1;12;4;NN;N;N;No;Outset;17.42285;17.5437;1.57959;90.46439;96.54025;-1;89.96967;98.08818;-0.6360779;1.627754;-0.4947281;1.547935;0.1208496;True
6;22;F;L;R;Yes;6;18;1;13;4;NN;N;N;No;Center;17.97949;18.13428;0.5566406;90.46439;56.54025;40;87.10017;57.48417;-2.473633;0.565403;-3.364227;0.9439278;0.1547852;True
6;22;F;L;R;Yes;6;18;1;14;4;NN;N;N;No;Goal;18.60132;18.75073;0.6218262;90.46439;96.54025;40;90.31247;99.08678;-0.2120285;1.981133;-0.1519241;2.546532;0.1494141;True
6;22;F;L;R;Yes;6;18;1;15;5;SW;S;W;No;Outset;20.36523;20.49927;1.763916;90.46439;16.54025;-1;88.62683;13.92304;-1.272156;-4.80815;-1.837563;-2.617215;0.1340332;True
6;22;F;L;R;Yes;6;18;1;16;5;SW;S;W;No;Center;20.95166;21.07056;0.5864258;90.46439;56.54025;39.99999;92.1606;59.15523;2.190933;2.968361;1.696205;2.614986;0.1188965;True
6;22;F;L;R;Yes;6;18;1;17;5;SW;S;W;No;Goal;21.52173;21.58936;0.5700684;50.46439;56.54025;40;48.83664;57.03497;-1.769108;0.4947281;-1.627754;0.4947281;0.06762695;True
6;22;F;L;R;Yes;6;18;1;18;6;EE;E;E;No;Outset;23.27051;23.35571;1.748779;130.4644;56.54025;-1;132.3042;57.247;2.263824;0.0706749;1.839783;0.7067566;0.08520508;True
6;22;F;L;R;Yes;6;18;1;19;6;EE;E;E;No;Center;23.80737;23.89258;0.5368652;90.46439;56.54025;40.00001;89.75764;56.9643;-0.7067566;0.3533745;-0.7067566;0.4240532;0.08520508;True
6;22;F;L;R;Yes;6;18;1;20;6;EE;E;E;No;Goal;24.51904;24.63135;0.7116699;130.4644;56.54025;40.00001;129.9012;56.9643;-0.9872437;0.0706749;-0.5631866;0.4240532;0.1123047;True
6;22;F;L;R;Yes;6;18;1;21;7;ES;E;S;No;Outset;26.21338;26.32837;1.694336;130.4644;56.54025;-1;130.0791;58.89516;1.274368;2.190937;-0.3852844;2.354919;0.1149902;True
6;22;F;L;R;Yes;6;18;1;22;7;ES;E;S;No;Center;26.76587;26.86572;0.5524902;90.46439;56.54025;40.00001;88.62683;58.30713;-1.201485;1.625534;-1.837563;1.766884;0.09985352;True
6;22;F;L;R;Yes;6;18;1;23;7;ES;E;S;No;Goal;27.35278;27.4707;0.5869141;90.46439;16.54025;39.99999;84.45699;15.19519;-3.957817;-2.829242;-6.007401;-1.34506;0.1179199;True
6;22;F;L;R;Yes;6;18;1;24;8;NN;N;N;No;Outset;28.83301;28.97144;1.480225;90.46439;96.54025;-1;90.32304;99.5815;0.07067108;3.111938;-0.1413498;3.04126;0.1384277;True
6;22;F;L;R;Yes;6;18;1;25;8;NN;N;N;No;Center;29.35522;29.46973;0.5222168;90.46439;56.54025;40;90.75896;57.41776;0.7067566;0.7774277;0.2945633;0.8775139;0.114502;True
6;22;F;L;R;Yes;6;18;1;26;8;NN;N;N;No;Goal;30.04272;30.125;0.6875;90.46439;96.54025;40;88.34413;96.96652;-2.261612;0.2849274;-2.120262;0.4262772;0.08227539;True
6;22;F;L;R;Yes;6;18;1;27;9;EW;E;W;No;Outset;31.65723;31.78882;1.614502;130.4644;56.54025;-1;128.5584;57.8124;-1.835342;0.8481064;-1.906021;1.272152;0.1315918;True
6;22;F;L;R;Yes;6;18;1;28;9;EW;E;W;No;Center;32.17334;32.29248;0.5161133;90.46439;56.54025;40.00001;87.36735;57.7904;0.5654068;0.4947281;-3.097046;1.250153;0.1191406;True
6;22;F;L;R;Yes;6;18;1;29;9;EW;E;W;No;Goal;32.67871;32.79614;0.5053711;50.46439;56.54025;40;49.54339;57.67727;-0.7796516;2.261608;-0.9210052;1.137024;0.1174316;True
6;22;F;L;R;Yes;6;18;1;30;10;WN;W;N;No;Outset;34.50195;34.61206;1.823242;50.46439;56.54025;-1;48.83664;58.16578;-1.839783;1.625534;-1.627754;1.625534;0.1101074;True
6;22;F;L;R;Yes;6;18;1;31;10;WN;W;N;No;Center;34.948;35.08423;0.4460449;90.46439;56.54025;40;87.70805;59.57928;-0.6360779;1.837555;-2.75634;3.03904;0.1362305;True
6;22;F;L;R;Yes;6;18;1;32;10;WN;W;N;No;Goal;35.35352;35.52417;0.4055176;90.46439;96.54025;40;90.39371;94.13951;-0.07067871;-2.683441;-0.07067871;-2.400734;0.1706543;True
6;22;F;L;R;Yes;6;18;1;33;11;NS;N;S;No;Outset;36.89771;37.01465;1.544189;90.46439;96.54025;-1;91.52452;97.6026;0.9187775;0.9210052;1.060127;1.062355;0.1169434;True
6;22;F;L;R;Yes;6;18;1;34;11;NS;N;S;No;Center;37.38354;37.5188;0.4858398;90.46439;56.54025;40;89.44249;57.28825;-0.6360779;0.1413536;-1.021904;0.7480011;0.1352539;True
6;22;F;L;R;Yes;6;18;1;35;11;NS;N;S;No;Goal;37.90527;38.00635;0.5217285;90.46439;16.54025;39.99999;89.82832;16.11397;-0.6360779;-0.7796574;-0.6360779;-0.426281;0.1010742;True
6;22;F;L;R;Yes;6;18;1;36;12;WS;W;S;No;Outset;39.46802;39.58667;1.562744;50.46439;56.54025;-1;52.72378;60.56874;3.107487;3.392414;2.259384;4.028496;0.1186523;True
6;22;F;L;R;Yes;6;18;1;37;12;WS;W;S;No;Center;40.00586;40.15991;0.5378418;90.46439;56.54025;40;84.73969;55.69214;0;0.2120247;-5.724701;-0.8481026;0.1540527;True
6;22;F;L;R;Yes;6;18;1;38;12;WS;W;S;No;Goal;40.46655;40.61353;0.4606934;90.46439;16.54025;39.99999;87.77873;22.0507;-0.1413498;3.319511;-2.685661;5.510445;0.1469727;True
6;22;F;L;R;Yes;6;18;1;39;13;NW;N;W;No;Outset;41.93018;42.04175;1.463623;90.46439;96.54025;-1;88.98022;94.91694;-1.696205;-1.835335;-1.484177;-1.623306;0.1115723;True
6;22;F;L;R;Yes;6;18;1;40;13;NW;N;W;No;Center;42.47754;42.54517;0.5473633;90.46439;56.54025;40;90.32304;57.74173;0.07067108;1.554859;-0.1413498;1.201481;0.06762695;True
6;22;F;L;R;Yes;6;18;1;41;13;NW;N;W;No;Goal;42.94849;43.01514;0.4709473;50.46439;56.54025;40;48.90731;56.32822;-1.839783;-0.2120285;-1.557079;-0.2120285;0.06665039;True
6;22;F;L;R;Yes;6;18;1;42;14;WN;W;N;No;Outset;44.66138;44.81787;1.712891;50.46439;56.54025;-1;51.16892;60.14469;0.2098007;3.816467;0.704525;3.604443;0.1564941;True
6;22;F;L;R;Yes;6;18;1;43;14;WN;W;N;No;Center;45.11719;45.25049;0.4558105;90.46439;56.54025;40;89.40426;57.03497;-1.060135;-0.1413498;-1.060135;0.4947281;0.1333008;True
6;22;F;L;R;Yes;6;18;1;44;14;WN;W;N;No;Goal;45.58643;45.70215;0.4692383;90.46439;96.54025;40;89.26291;97.53192;-1.130806;1.415726;-1.201485;0.9916763;0.1157227;True
6;22;F;L;R;Yes;6;18;1;45;15;NW;N;W;No;Outset;47.16895;47.30444;1.58252;90.46439;96.54025;-1;87.5667;98.02665;-0.9187775;3.960037;-2.89769;1.486404;0.135498;True
6;22;F;L;R;Yes;6;18;1;46;15;NW;N;W;No;Center;47.66992;47.78638;0.5009766;90.46439;56.54025;40;90.37141;60.86184;1.837563;3.180389;-0.09297943;4.321598;0.1164551;True
6;22;F;L;R;Yes;6;18;1;47;15;NW;N;W;No;Goal;48.08936;48.19043;0.4194336;50.46439;56.54025;40;47.06976;58.58983;-3.394638;1.48418;-3.394638;2.049583;0.1010742;True
6;22;F;L;R;Yes;6;18;1;48;16;ES;E;S;No;Outset;49.73706;49.85278;1.647705;130.4644;56.54025;-1;127.8516;56.9643;-0.6338654;0.1413536;-2.61277;0.4240532;0.1157227;True
6;22;F;L;R;Yes;6;18;1;49;16;ES;E;S;No;Center;50.1709;50.27417;0.4338379;90.46439;56.54025;40.00001;87.42535;52.0877;-1.766884;-3.321739;-3.03904;-4.452545;0.1032715;True
6;22;F;L;R;Yes;6;18;1;50;16;ES;E;S;No;Goal;50.62549;50.72681;0.4545898;90.46439;16.54025;39.99999;89.67477;22.20424;0.3533783;4.096939;-0.7896271;5.663994;0.1013184;True
6;22;F;L;R;Yes;6;18;1;51;17;EN;E;N;No;Outset;52.23901;52.34009;1.613525;130.4644;56.54025;-1;133.0109;60.85144;2.617203;4.169846;2.546524;4.311195;0.1010742;True
6;22;F;L;R;Yes;6;18;1;52;17;EN;E;N;No;Center;52.6814;52.76172;0.4423828;90.46439;56.54025;40.00001;88.98022;56.18687;-1.484177;-0.6360741;-1.484177;-0.3533783;0.08032227;True
6;22;F;L;R;Yes;6;18;1;53;17;EN;E;N;No;Goal;53.08228;53.16309;0.4008789;90.46439;96.54025;40;90.88844;97.6026;0.07067108;1.062355;0.4240494;1.062355;0.08081055;True
6;22;F;L;R;Yes;6;18;1;54;18;SE;S;E;No;Outset;54.7937;54.87744;1.711426;90.46439;16.54025;-1;91.94858;16.67937;1.484184;-0.6383076;1.484184;0.139122;0.08374023;True
6;22;F;L;R;Yes;6;18;1;55;18;SE;S;E;No;Center;55.23022;55.36523;0.4365234;90.46439;56.54025;39.99999;89.41546;55.44304;-1.130806;-1.837559;-1.048935;-1.097202;0.1350098;True
6;22;F;L;R;Yes;6;18;1;56;18;SE;S;E;No;Goal;55.68799;55.83643;0.4577637;130.4644;56.54025;40.00001;129.0531;58.87253;-1.835342;3.392414;-1.411301;2.332287;0.1484375;True
6;22;F;L;R;Yes;6;18;1;57;19;WS;W;S;No;Outset;57.35742;57.46582;1.669434;50.46439;56.54025;-1;52.58243;61.13414;2.047359;4.099167;2.118038;4.593899;0.1083984;True
6;22;F;L;R;Yes;6;18;1;58;19;WS;W;S;No;Center;57.81909;57.91968;0.4616699;90.46439;56.54025;40;87.49603;59.43793;-3.109718;2.685661;-2.968361;2.89769;0.1005859;True
6;22;F;L;R;Yes;6;18;1;59;19;WS;W;S;No;Goal;58.27173;58.37305;0.4526367;90.46439;16.54025;39.99999;87.66151;19.19955;-2.827011;2.25938;-2.802887;2.659302;0.1013184;True
6;22;F;L;R;Yes;6;18;1;60;20;NE;N;E;No;Outset;59.80127;59.91968;1.529541;90.46439;96.54025;-1;89.61629;95.12896;0;-0.7752075;-0.8481064;-1.411285;0.1184082;True
6;22;F;L;R;Yes;6;18;1;61;20;NE;N;E;No;Center;60.25903;60.39722;0.4577637;90.46439;56.54025;40;87.99076;59.93266;-0.9187775;2.614986;-2.473633;3.392414;0.1381836;True
6;22;F;L;R;Yes;6;18;1;62;20;NE;N;E;No;Goal;60.7439;60.82813;0.4848633;130.4644;56.54025;40.00001;131.1137;57.37732;0.7796478;0.6360779;0.6493225;0.8370781;0.08422852;True
6;22;F;L;R;Yes;6;18;1;63;21;WW;W;W;No;Outset;62.44849;62.54102;1.70459;50.46439;56.54025;-1;50.65478;59.1296;-0.4969482;3.109718;0.1903877;2.589355;0.0925293;True
6;22;F;L;R;Yes;6;18;1;64;21;WW;W;W;No;Center;62.89648;62.99609;0.447998;90.46439;56.54025;40;88.69751;60.35671;-1.272156;3.180389;-1.766884;3.816467;0.09960938;True
6;22;F;L;R;Yes;6;18;1;65;21;WW;W;W;No;Goal;63.46558;63.56616;0.5690918;50.46439;56.54025;40;48.22948;59.70781;-1.981133;3.321735;-2.234909;3.167568;0.1005859;True
6;22;F;L;R;Yes;6;18;1;66;22;WN;W;N;No;Outset;65.23438;65.33105;1.768799;50.46439;56.54025;-1;45.93895;57.17632;-5.020172;0.4947281;-4.525444;0.6360779;0.09667969;True
6;22;F;L;R;Yes;6;18;1;67;22;WN;W;N;No;Center;65.70605;65.81958;0.4716797;90.46439;56.54025;40;89.82832;57.74173;1.060127;-0.2120285;-0.6360779;1.201481;0.1135254;True
6;22;F;L;R;Yes;6;18;1;68;22;WN;W;N;No;Goal;66.07031;66.17236;0.3642578;90.46439;96.54025;40;90.88844;97.74395;0.4240494;1.557076;0.4240494;1.203705;0.1020508;True
6;22;F;L;R;Yes;6;18;1;69;23;EN;E;N;No;Outset;67.80176;67.88477;1.731445;130.4644;56.54025;-1;128.4191;56.78748;0.07289124;-0.2826996;-2.045273;0.2472343;0.08300781;True
6;22;F;L;R;Yes;6;18;1;70;23;EN;E;N;No;Center;68.2207;68.30444;0.4189453;90.46439;56.54025;40.00001;89.54562;56.46957;-0.7067566;-0.8481026;-0.9187775;-0.0706749;0.08374023;True
6;22;F;L;R;Yes;6;18;1;71;23;EN;E;N;No;Goal;68.64185;68.74146;0.4211426;90.46439;96.54025;40;90.46439;98.30935;-0.7067566;1.910461;0;1.769104;0.09960938;True
6;22;F;L;R;Yes;6;18;1;72;24;ES;E;S;No;Outset;70.24121;70.35449;1.599365;130.4644;56.54025;-1;130.3959;57.67105;0.002227783;0.565403;-0.06846619;1.130802;0.1132813;True
6;22;F;L;R;Yes;6;18;1;73;24;ES;E;S;No;Center;70.60718;70.74194;0.3659668;90.46439;56.54025;40.00001;86.85995;57.31767;-4.099167;1.272152;-3.604439;0.7774277;0.1347656;True
6;22;F;L;R;Yes;6;18;1;74;24;ES;E;S;No;Goal;70.99243;71.11206;0.3852539;90.46439;16.54025;39.99999;95.27032;17.7395;5.017952;0.2804718;4.805923;1.199251;0.1196289;True
6;22;F;L;R;Yes;6;18;1;75;25;WW;W;W;No;Outset;72.64063;72.74121;1.648193;50.46439;56.54025;-1;50.68293;57.93747;-0.8503304;0.2827034;0.2185326;1.397224;0.1005859;True
6;22;F;L;R;Yes;6;18;1;76;25;WW;W;W;No;Center;72.97583;73.0603;0.3352051;90.46439;56.54025;40;90.71447;58.96495;0.4947281;2.120258;0.2500763;2.424706;0.08447266;True
6;22;F;L;R;Yes;6;18;1;77;25;WW;W;W;No;Goal;73.70532;73.78247;0.7294922;50.46439;56.54025;40;49.47271;57.45902;-1.13303;0.7774277;-0.9916801;0.9187775;0.07714844;True
6;22;F;L;R;Yes;6;18;1;78;26;EW;E;W;No;Outset;75.43384;75.55444;1.728516;130.4644;56.54025;-1;130.1657;63.43715;2.617203;1.837555;-0.2987366;6.8969;0.1206055;True
6;22;F;L;R;Yes;6;18;1;79;26;EW;E;W;No;Center;75.9353;76.01782;0.5014648;90.46439;56.54025;40.00001;89.82832;57.96037;-0.7067566;1.908234;-0.6360779;1.42012;0.08251953;True
6;22;F;L;R;Yes;6;18;1;80;26;EW;E;W;No;Goal;76.30713;76.4043;0.3718262;50.46439;56.54025;40;58.51916;59.29658;7.842735;2.473637;8.054764;2.756336;0.09716797;True
