LogID;UserID;Time;TouchID;TouchX;TouchY;TouchDeltaX;TouchDeltaY;FirstTouchX;FirstTouchY
0;1;1.676514;0;90.81777;15.33654;0;0;90.81777;15.33654
1;1;1.692993;0;90.71794;15.33654;-0.09983063;0;90.81777;15.33654
2;1;1.713501;0;90.74709;15.33654;0.02915192;0;90.81777;15.33654
3;1;1.72644;0;90.74709;15.33654;0;0;90.81777;15.33654
4;1;1.944458;1;91.0298;54.34931;0;0;91.0298;54.34931
5;1;1.962402;1;91.0298;54.34931;0;0;91.0298;54.34931
6;1;1.979858;1;90.92378;54.34931;-0.1060181;0;91.0298;54.34931
7;1;1.996094;1;90.92378;54.34931;0;0;91.0298;54.34931
8;1;2.011963;1;90.95912;54.4304;0.03533936;0.08108521;91.0298;54.34931
9;1;2.280518;2;91.45384;15.90194;0;0;91.45384;15.90194
10;1;2.299438;2;91.45384;15.90194;0;0;91.45384;15.90194
11;1;2.314453;2;91.45384;15.72897;0;-0.1729689;91.45384;15.90194
12;1;2.332031;2;91.45384;15.76059;0;0.03161907;91.45384;15.90194
13;1;2.348999;2;91.45384;15.76059;0;0;91.45384;15.90194
14;1;3.927856;3;131.8094;57.38835;0;0;131.8094;57.38835
15;1;3.944824;3;131.7296;57.38835;-0.07980347;0;131.8094;57.38835
16;1;3.964355;3;131.7296;57.38835;0;0;131.8094;57.38835
17;1;4.149414;4;96.18909;56.89362;0;0;96.18909;56.89362
18;1;4.165527;4;96.10952;56.81404;-0.07957458;-0.07957458;96.18909;56.89362
19;1;4.181152;4;96.0064;56.75227;-0.1031189;-0.06177521;96.18909;56.89362
20;1;4.197266;4;95.90328;56.75227;-0.1031189;0;96.18909;56.89362
21;1;4.448608;5;46.0803;58.73118;0;0;46.0803;58.73118
22;1;4.46582;5;45.97961;58.63049;-0.1006889;-0.1006889;46.0803;58.73118
23;1;4.484619;5;45.87636;58.52724;-0.1032524;-0.1032524;46.0803;58.73118
24;1;4.499512;5;45.86827;58.42429;-0.008083344;-0.102951;46.0803;58.73118
25;1;6.120239;6;91.59519;16.04329;0;0;91.59519;16.04329
26;1;6.129639;6;91.59519;16.04329;0;0;91.59519;16.04329
27;1;6.145264;6;91.59519;16.04329;0;0;91.59519;16.04329
28;1;6.381714;7;91.52452;57.5297;0;0;91.52452;57.5297
29;1;6.398438;7;91.42853;57.43371;-0.09599304;-0.09599304;91.52452;57.5297
30;1;6.417358;7;91.32551;57.45902;-0.1030197;0.02531433;91.52452;57.5297
31;1;6.431152;7;91.3125;57.45902;-0.01300812;0;91.52452;57.5297
32;1;6.604126;8;49.11934;60.00334;0;0;49.11934;60.00334
33;1;6.616089;8;49.11934;60.00334;0;0;49.11934;60.00334
34;1;6.63501;8;48.99165;59.87565;-0.1276855;-0.1276894;49.11934;60.00334
35;1;6.649292;8;48.88805;59.77205;-0.1036034;-0.1035995;49.11934;60.00334
36;1;8.195801;9;91.59519;93.8568;0;0;91.59519;93.8568
37;1;8.21521;9;91.52012;93.78173;-0.07507324;-0.07507324;91.59519;93.8568
38;1;8.22937;9;91.41851;93.68012;-0.1016083;-0.1016083;91.59519;93.8568
39;1;8.399536;10;89.82832;58.23645;0;0;89.82832;58.23645
40;1;8.415771;10;89.82832;58.23645;0;0;89.82832;58.23645
41;1;8.432617;10;89.61017;57.94764;-0.2181473;-0.2888145;89.82832;58.23645
42;1;8.449951;10;89.51028;57.84774;-0.09989166;-0.09989548;89.82832;58.23645
43;1;8.465332;10;89.47494;57.8124;-0.03533936;-0.03534317;89.82832;58.23645
44;1;8.651978;11;132.1628;55.48011;0;0;132.1628;55.48011
45;1;8.66748;11;132.1628;55.48011;0;0;132.1628;55.48011
46;1;8.683105;11;132.1628;55.48011;0;0;132.1628;55.48011
47;1;8.700195;11;132.1628;55.48011;0;0;132.1628;55.48011
48;1;10.24829;12;129.5478;55.76282;0;0;129.5478;55.76282
49;1;10.26367;12;129.5478;55.67564;0;-0.08718109;129.5478;55.76282
50;1;10.28064;12;129.428;55.69214;-0.1198425;0.01650238;129.5478;55.76282
51;1;10.297;12;129.3252;55.69214;-0.102829;0;129.5478;55.76282
52;1;10.48328;13;88.48548;55.90417;0;0;88.48548;55.90417
53;1;10.50232;13;88.48548;55.90417;0;0;88.48548;55.90417
54;1;10.51672;13;88.33369;55.75237;-0.1517868;-0.1517982;88.48548;55.90417
55;1;10.53662;13;88.23014;55.76282;-0.1035538;0.01044846;88.48548;55.90417
56;1;10.55066;13;88.20278;55.76282;-0.02735901;0;88.48548;55.90417
57;1;10.73535;14;91.24182;15.26587;0;0;91.24182;15.26587
58;1;10.75366;14;91.24182;15.26587;0;0;91.24182;15.26587
59;1;10.7688;14;91.09527;15.11931;-0.146553;-0.146553;91.24182;15.26587
60;1;10.78577;14;91.0298;15.05384;-0.06546783;-0.0654726;91.24182;15.26587
61;1;12.43066;15;51.5223;56.82295;0;0;51.5223;56.82295
62;1;12.44873;15;51.44357;56.82295;-0.07872772;0;51.5223;56.82295
63;1;12.46558;15;51.45163;56.82295;0.008056641;0;51.5223;56.82295
64;1;12.4823;15;51.45163;56.82295;0;0;51.5223;56.82295
65;1;12.66565;16;94.91694;57.45902;0;0;94.91694;57.45902
66;1;12.68433;16;94.84626;57.38835;-0.07067871;-0.07067108;94.91694;57.45902
67;1;12.70093;16;94.84626;57.38835;0;0;94.91694;57.45902
