StudyID;LogID;UserID;Time;TouchID;TouchX;TouchY;TouchDeltaX;TouchDeltaY;FirstTouchX;FirstTouchY;Bug
;0;8;1.225.586;0;1.306.786;5.540.944;0;0;1.306.786;5.540.944;
;1;8;1.239.258;0;1.306.786;5.540.944;0;0;1.306.786;5.540.944;
;2;8;1.256.348;0;1.306.089;5.540.944;-0.06976318;0;1.306.786;5.540.944;
;3;8;128.125;0;1.304.016;5.547.449;-0.2073059;0.06505203;1.306.786;5.540.944;
;4;8;1.709.961;1;8.855.616;5.314.783;0;0;8.855.616;5.314.783;
;5;8;1.728.027;1;8.855.616;5.314.783;0;0;8.855.616;5.314.783;
;6;8;1.743.652;1;8.839.124;5.314.783;-0.1649246;0;8.855.616;5.314.783;
;7;8;1.760.742;1;8.834.413;5.314.783;-0.04710388;0;8.855.616;5.314.783;
;8;8;1.778.809;1;8.834.413;5.314.783;0;0;8.855.616;5.314.783;
;9;8;179.541;1;8.834.413;5.314.783;0;0;8.855.616;5.314.783;
;10;8;2.366.211;2;4.834.191;5.498.539;0;0;4.834.191;5.498.539;
;11;8;2.383.301;2;4.834.191;5.498.539;0;0;4.834.191;5.498.539;
;12;8;2.400.879;2;48.18;5.482.348;-0.1619072;-0.1619072;4.834.191;5.498.539;
;13;8;4.286.621;3;469.284;563.989;0;0;469.284;563.989;
;14;8;4.298.828;3;469.284;563.989;0;0;469.284;563.989;
;15;8;4.320.313;3;4.685.773;5.632.822;-0.0706749;-0.07067871;469.284;563.989;
;16;8;433.252;3;4.685.773;5.632.822;0;0;469.284;563.989;
;17;8;4.835.938;4;9.208.993;5.816.578;0;0;9.208.993;5.816.578;
;18;8;4.857.422;4;9.208.993;5.805.976;0;-0.1060143;9.208.993;5.816.578;
;19;8;487.207;4;9.195.036;5.795.553;-0.1395721;-0.1042328;9.208.993;5.816.578;
;20;8;4.888.184;4;918.457;5.785.088;-0.1046524;-0.1046562;9.208.993;5.816.578;
;21;8;5.241.211;5;9.110.047;9.901.611;0;0;9.110.047;9.901.611;
;22;8;5.257.324;5;9.110.047;9.901.611;0;0;9.110.047;9.901.611;
;23;8;5.275.391;5;9.095.881;9.873.277;-0.1416626;-0.2833328;9.110.047;9.901.611;
;24;8;5.291.016;5;9.085.487;9.862.915;-0.1039429;-0.1036224;9.110.047;9.901.611;
;25;8;6.987.793;6;8.947.494;1.795.153;0;0;8.947.494;1.795.153;
;26;8;7.005.859;6;8.936.893;1.784.551;-0.1060104;-0.1060143;8.947.494;1.795.153;
;27;8;7.023.438;6;8.933.359;1.781.018;-0.03533936;-0.03533745;8.947.494;1.795.153;
;28;8;7.039.063;6;8.933.359;1.781.018;0;0;8.947.494;1.795.153;
;29;8;7.459.961;7;8.989.899;5.731.767;0;0;8.989.899;5.731.767;
;30;8;7.478.027;7;8.980.462;5.722.329;-0.09437561;-0.09437943;8.989.899;5.731.767;
;31;8;7.494.629;7;8.970.137;5.712.005;-0.1032486;-0.103241;8.989.899;5.731.767;
;32;8;7.509.766;7;8.968.697;570.163;-0.0144043;-0.1037521;8.989.899;5.731.767;
;33;8;7.845.215;8;9.230.196;1.604.329;0;0;9.230.196;1.604.329;
;34;8;7.865.723;8;9.230.196;1.604.329;0;0;9.230.196;1.604.329;
;35;8;7.879.395;8;9.213.824;1.604.329;-0.1637192;0;9.230.196;1.604.329;
;36;8;9.595.215;9;921.606;1.646.735;0;0;921.606;1.646.735;
;37;8;9.612.793;9;921.606;1.646.735;0;0;921.606;1.646.735;
;38;8;9.628.906;9;9.199.986;1.639.667;-0.1607437;-0.0706749;921.606;1.646.735;
