UserID;Age;Gender;DominantHand;HitType;TargetID;RoundID;TouchTime;LiftTime;DeltaHitTime;TargetX;TargetY;TouchX;TouchY;LiftX;LiftY;TouchOffsetX;TouchOffsetY;LiftOffsetX;LiftOffsetY;TouchDuration;TouchDeltaX;TouchDeltaY
0;25;M;R;Center;-1;0;0.5391729;0.6234186;0.5391729;189.4096;138.6581;199.506;133.004;199.506;133.004;10.09645;-5.654022;10.09645;-5.654022;0.08424568;0;0
0;25;M;R;Target;0;0;0.8593068;0.943552;0.3201339;279.275;138.6581;278.1238;133.8117;275.7007;133.8117;-1.151184;-4.846313;-3.574341;-4.846313;0.0842452;-2.423157;0
0;25;M;R;Center;0;0;1.247738;1.298286;0.3884315;189.4096;138.6581;191.1596;132.1963;194.1213;135.1579;1.750046;-6.461731;4.71167;-3.500107;0.05054784;2.961624;2.961624
0;25;M;R;Target;1;0;1.601568;1.652115;0.3538301;267.2353;183.5907;269.7774;181.1978;266.8158;179.3131;2.542084;-2.392944;-0.4195251;-4.277618;0.05054688;-2.961609;-1.884674
0;25;M;R;Center;1;0;1.921703;1.989099;0.3201342;189.4096;138.6581;191.6981;134.081;202.7369;147.0045;2.288528;-4.577072;13.32733;8.346405;0.06739616;11.0388;12.92348
0;25;M;R;Target;2;0;2.258685;2.309232;0.3369823;234.3423;216.4838;231.2762;209.4679;231.2762;207.314;-3.06604;-7.0159;-3.06604;-9.169815;0.0505476;0;-2.153915
0;25;M;R;Center;2;0;2.697531;2.74808;0.4388456;189.4096;138.6581;189.8134;138.6581;188.4673;161.0049;0.4038544;0;-0.942337;22.34682;0.05054903;-1.346191;22.34682
0;25;M;R;Target;3;0;2.983967;3.051364;0.2864361;189.4096;228.5235;184.1594;221.8529;184.1594;220.5067;-5.250153;-6.670578;-5.250153;-8.016754;0.06739712;0;-1.346176
0;25;M;R;Center;3;0;3.405195;3.489442;0.4212284;189.4096;138.6581;184.4287;139.4658;173.1206;154.0047;-4.980927;0.807724;-16.28896;15.34662;0.08424664;-11.30803;14.53889
0;25;M;R;Target;4;0;3.725329;3.792727;0.3201337;144.4769;216.4838;138.1196;207.0448;138.3888;207.314;-6.3573;-9.439026;-6.088058;-9.169815;0.06739855;0.2692413;0.2692108
0;25;M;R;Center;4;0;4.146558;4.213954;0.4212289;189.4096;138.6581;187.3903;131.3886;178.5054;137.5811;-2.019302;-7.269455;-10.90419;-1.07695;0.06739616;-8.884888;6.192505
0;25;M;R;Target;5;0;4.466694;4.55094;0.3201361;111.5839;183.5908;109.8495;179.8516;113.8881;179.0439;-1.73439;-3.739151;2.304199;-4.546875;0.08424568;4.038589;-0.807724
0;25;M;R;Center;5;0;4.854222;4.921619;0.3875284;189.4096;138.6581;186.5826;135.9657;180.6593;135.9657;-2.827011;-2.692398;-8.750275;-2.692398;0.06739712;-5.923264;0
0;25;M;R;Target;6;0;5.174356;5.241754;0.3201342;99.54418;138.658;101.5031;138.6581;113.8881;137.5811;1.958893;1.525879E-05;14.34389;-1.076935;0.06739712;12.38499;-1.07695
0;25;M;R;Center;6;0;5.49449;5.561887;0.3201337;189.4096;138.6581;182.2748;137.5811;182.544;137.0426;-7.134827;-1.07695;-6.865601;-1.615433;0.06739712;0.2692261;-0.5384827
0;25;M;R;Target;7;0;5.865171;5.932569;0.3706818;111.5839;93.72535;117.6574;99.6184;120.8883;101.2338;6.07354;5.893051;9.304413;7.508492;0.06739712;3.230873;1.61544
0;25;M;R;Center;7;0;6.202158;6.269551;0.3369865;189.4096;138.6581;190.8904;137.5811;187.9288;130.0424;1.48082;-1.07695;-1.48082;-8.615646;0.0673933;-2.961639;-7.538696
0;25;M;R;Target;8;0;6.555987;6.640232;0.3538294;144.4769;60.83232;151.8508;63.27115;152.3892;63.80963;7.373871;2.438824;7.912354;2.977303;0.08424473;0.5384827;0.5384789
0;25;M;R;Center;8;0;6.943518;7.027763;0.3875303;189.4096;138.6581;193.5828;136.7734;193.5828;127.8885;4.173203;-1.884674;4.173203;-10.76956;0.08424568;0;-8.884888
0;25;M;R;Target;9;0;7.314198;7.398444;0.3706808;189.4096;48.79265;189.0057;54.65551;191.9674;81.84863;-0.4038544;5.862854;2.55777;33.05598;0.08424568;2.961624;27.19313
0;25;M;R;Center;9;0;7.668031;7.735427;0.3538322;189.4096;138.6581;192.5058;138.6581;193.3136;134.6195;3.096237;0;3.903961;-4.038574;0.06739616;0.807724;-4.038574
0;25;M;R;Target;10;0;7.988166;8.072411;0.3201351;234.3423;60.83232;234.7763;62.19419;234.5071;65.15582;0.4340515;1.361866;0.1648102;4.323498;0.08424473;-0.2692413;2.961632
0;25;M;R;Center;10;0;8.375695;8.459941;0.3875294;189.4096;138.6581;185.2364;138.1196;188.198;136.5041;-4.173203;-0.5384827;-1.211578;-2.153915;0.08424568;2.961624;-1.615433
0;25;M;R;Target;11;0;8.780077;8.86432;0.4043818;267.2353;93.72533;276.7776;90.73352;273.816;90.73352;9.542297;-2.991814;6.580658;-2.991814;0.08424282;-2.961639;0
